Routing Table for Node No. 1 at Time 10
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   1-0   |   32   |
|    2       |   1-0-2   |   50   |
|    3       |   1-0-2-8-7-3   |   186   |
|    4       |   1-4   |   30   |
|    5       |   1-0-2-5   |   122   |
|    6       |   1-0-6   |   73   |
|    7       |   1-0-2-8-7   |   112   |
|    8       |   1-0-2-8   |   98   |
|    9       |   1-0-9   |   99   |
Routing Table for Node No. 1 at Time 20
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   1-0   |   33   |
|    2       |   1-0-2   |   51   |
|    3       |   1-0-2-8-7-3   |   187   |
|    4       |   1-4   |   26   |
|    5       |   1-0-2-5   |   123   |
|    6       |   1-0-6   |   74   |
|    7       |   1-0-2-8-7   |   113   |
|    8       |   1-0-2-8   |   99   |
|    9       |   1-0-9   |   100   |
Routing Table for Node No. 1 at Time 30
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   1-0   |   30   |
|    2       |   1-0-2   |   48   |
|    3       |   1-0-2-8-7-3   |   184   |
|    4       |   1-4   |   24   |
|    5       |   1-0-2-5   |   120   |
|    6       |   1-0-6   |   71   |
|    7       |   1-0-2-8-7   |   110   |
|    8       |   1-0-2-8   |   96   |
|    9       |   1-0-9   |   97   |
Routing Table for Node No. 1 at Time 40
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   1-0   |   50   |
|    2       |   1-0-2   |   68   |
|    3       |   1-0-2-8-7-3   |   204   |
|    4       |   1-4   |   27   |
|    5       |   1-0-2-5   |   140   |
|    6       |   1-0-6   |   91   |
|    7       |   1-0-2-8-7   |   130   |
|    8       |   1-0-2-8   |   116   |
|    9       |   1-0-9   |   117   |
Routing Table for Node No. 1 at Time 50
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   1-0   |   46   |
|    2       |   1-0-2   |   64   |
|    3       |   1-0-2-8-7-3   |   200   |
|    4       |   1-4   |   23   |
|    5       |   1-0-2-5   |   136   |
|    6       |   1-0-6   |   87   |
|    7       |   1-0-2-8-7   |   126   |
|    8       |   1-0-2-8   |   112   |
|    9       |   1-0-9   |   113   |
Routing Table for Node No. 1 at Time 60
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   1-0   |   40   |
|    2       |   1-0-2   |   58   |
|    3       |   1-0-2-8-7-3   |   194   |
|    4       |   1-4   |   29   |
|    5       |   1-0-2-5   |   130   |
|    6       |   1-0-6   |   81   |
|    7       |   1-0-2-8-7   |   120   |
|    8       |   1-0-2-8   |   106   |
|    9       |   1-0-9   |   107   |
Routing Table for Node No. 1 at Time 70
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   1-0   |   45   |
|    2       |   1-0-2   |   63   |
|    3       |   1-0-2-8-7-3   |   199   |
|    4       |   1-4   |   21   |
|    5       |   1-0-2-5   |   135   |
|    6       |   1-0-6   |   86   |
|    7       |   1-0-2-8-7   |   125   |
|    8       |   1-0-2-8   |   111   |
|    9       |   1-0-9   |   112   |
Routing Table for Node No. 1 at Time 80
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   1-0   |   37   |
|    2       |   1-0-2   |   55   |
|    3       |   1-0-2-8-7-3   |   191   |
|    4       |   1-4   |   24   |
|    5       |   1-0-2-5   |   127   |
|    6       |   1-0-6   |   78   |
|    7       |   1-0-2-8-7   |   117   |
|    8       |   1-0-2-8   |   103   |
|    9       |   1-0-9   |   104   |
Routing Table for Node No. 1 at Time 90
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   1-0   |   37   |
|    2       |   1-0-2   |   55   |
|    3       |   1-0-2-8-7-3   |   191   |
|    4       |   1-4   |   21   |
|    5       |   1-0-2-5   |   127   |
|    6       |   1-0-6   |   78   |
|    7       |   1-0-2-8-7   |   117   |
|    8       |   1-0-2-8   |   103   |
|    9       |   1-0-9   |   104   |
