Routing Table for Node No. 0 at Time 10
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    1       |   0-1   |   35   |
|    2       |   0-2   |   17   |
|    3       |   0-6-8-7-3   |   149   |
|    4       |   0-1-4   |   57   |
|    5       |   0-6-5   |   80   |
|    6       |   0-6   |   16   |
|    7       |   0-6-8-7   |   75   |
|    8       |   0-6-8   |   61   |
|    9       |   0-9   |   76   |
Routing Table for Node No. 0 at Time 20
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    1       |   0-1   |   40   |
|    2       |   0-2   |   15   |
|    3       |   0-2-8-7-3   |   151   |
|    4       |   0-4   |   21   |
|    5       |   0-2-5   |   87   |
|    6       |   0-6   |   53   |
|    7       |   0-2-8-7   |   77   |
|    8       |   0-2-8   |   63   |
|    9       |   0-9   |   69   |
Routing Table for Node No. 0 at Time 30
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    1       |   0-1   |   32   |
|    2       |   0-2   |   21   |
|    3       |   0-2-8-7-3   |   157   |
|    4       |   0-4   |   34   |
|    5       |   0-2-5   |   93   |
|    6       |   0-6   |   44   |
|    7       |   0-2-8-7   |   83   |
|    8       |   0-2-8   |   69   |
|    9       |   0-9   |   64   |
Routing Table for Node No. 0 at Time 40
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    1       |   0-1   |   43   |
|    2       |   0-2   |   23   |
|    3       |   0-6-8-7-3   |   146   |
|    4       |   0-4   |   27   |
|    5       |   0-6-5   |   77   |
|    6       |   0-6   |   13   |
|    7       |   0-6-8-7   |   72   |
|    8       |   0-6-8   |   58   |
|    9       |   0-9   |   83   |
Routing Table for Node No. 0 at Time 50
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    1       |   0-4-1   |   38   |
|    2       |   0-2   |   16   |
|    3       |   0-2-8-7-3   |   152   |
|    4       |   0-4   |   16   |
|    5       |   0-2-5   |   88   |
|    6       |   0-6   |   50   |
|    7       |   0-2-8-7   |   78   |
|    8       |   0-2-8   |   64   |
|    9       |   0-9   |   80   |
Routing Table for Node No. 0 at Time 60
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    1       |   0-1   |   33   |
|    2       |   0-2   |   16   |
|    3       |   0-2-8-7-3   |   152   |
|    4       |   0-4   |   35   |
|    5       |   0-6-5   |   84   |
|    6       |   0-6   |   20   |
|    7       |   0-2-8-7   |   78   |
|    8       |   0-2-8   |   64   |
|    9       |   0-9   |   63   |
Routing Table for Node No. 0 at Time 70
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    1       |   0-1   |   32   |
|    2       |   0-2   |   13   |
|    3       |   0-2-8-7-3   |   149   |
|    4       |   0-4   |   48   |
|    5       |   0-2-5   |   85   |
|    6       |   0-6   |   46   |
|    7       |   0-2-8-7   |   75   |
|    8       |   0-2-8   |   61   |
|    9       |   0-9   |   94   |
Routing Table for Node No. 0 at Time 80
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    1       |   0-1   |   43   |
|    2       |   0-2   |   24   |
|    3       |   0-2-8-7-3   |   160   |
|    4       |   0-4   |   57   |
|    5       |   0-2-5   |   96   |
|    6       |   0-6   |   69   |
|    7       |   0-2-8-7   |   86   |
|    8       |   0-2-8   |   72   |
|    9       |   0-9   |   96   |
Routing Table for Node No. 0 at Time 90
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    1       |   0-1   |   45   |
|    2       |   0-2   |   22   |
|    3       |   0-2-8-7-3   |   158   |
|    4       |   0-4   |   51   |
|    5       |   0-6-5   |   90   |
|    6       |   0-6   |   26   |
|    7       |   0-2-8-7   |   84   |
|    8       |   0-2-8   |   70   |
|    9       |   0-9   |   83   |
