Routing Table for Node No. 2 at Time 10
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   2-0   |   10   |
|    1       |   2-0-1   |   50   |
|    3       |   2-8-7-3   |   135   |
|    4       |   2-0-4   |   54   |
|    5       |   2-5   |   80   |
|    6       |   2-0-6   |   51   |
|    7       |   2-8-7   |   61   |
|    8       |   2-8   |   47   |
|    9       |   2-0-9   |   77   |
Routing Table for Node No. 2 at Time 20
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   2-0   |   13   |
|    1       |   2-0-1   |   53   |
|    3       |   2-8-7-3   |   109   |
|    4       |   2-0-4   |   57   |
|    5       |   2-8-5   |   78   |
|    6       |   2-0-6   |   54   |
|    7       |   2-8-7   |   35   |
|    8       |   2-8   |   21   |
|    9       |   2-0-9   |   80   |
Routing Table for Node No. 2 at Time 30
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   2-0   |   24   |
|    1       |   2-0-1   |   64   |
|    3       |   2-8-7-3   |   180   |
|    4       |   2-0-4   |   68   |
|    5       |   2-5   |   85   |
|    6       |   2-0-6   |   65   |
|    7       |   2-8-7   |   106   |
|    8       |   2-8   |   92   |
|    9       |   2-0-9   |   91   |
Routing Table for Node No. 2 at Time 40
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   2-0   |   16   |
|    1       |   2-0-1   |   56   |
|    3       |   2-8-7-3   |   162   |
|    4       |   2-0-4   |   60   |
|    5       |   2-5   |   51   |
|    6       |   2-0-6   |   57   |
|    7       |   2-8-7   |   88   |
|    8       |   2-8   |   74   |
|    9       |   2-0-9   |   83   |
Routing Table for Node No. 2 at Time 50
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   2-0   |   16   |
|    1       |   2-0-1   |   56   |
|    3       |   2-8-7-3   |   112   |
|    4       |   2-0-4   |   60   |
|    5       |   2-5   |   54   |
|    6       |   2-0-6   |   57   |
|    7       |   2-8-7   |   38   |
|    8       |   2-8   |   24   |
|    9       |   2-0-9   |   83   |
Routing Table for Node No. 2 at Time 60
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   2-0   |   14   |
|    1       |   2-0-1   |   54   |
|    3       |   2-8-7-3   |   137   |
|    4       |   2-0-4   |   58   |
|    5       |   2-5   |   79   |
|    6       |   2-0-6   |   55   |
|    7       |   2-8-7   |   63   |
|    8       |   2-8   |   49   |
|    9       |   2-0-9   |   81   |
Routing Table for Node No. 2 at Time 70
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   2-0   |   16   |
|    1       |   2-0-1   |   56   |
|    3       |   2-8-7-3   |   121   |
|    4       |   2-0-4   |   60   |
|    5       |   2-5   |   56   |
|    6       |   2-0-6   |   57   |
|    7       |   2-8-7   |   47   |
|    8       |   2-8   |   33   |
|    9       |   2-0-9   |   83   |
Routing Table for Node No. 2 at Time 80
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   2-0   |   20   |
|    1       |   2-0-1   |   60   |
|    3       |   2-8-7-3   |   104   |
|    4       |   2-0-4   |   64   |
|    5       |   2-8-5   |   73   |
|    6       |   2-0-6   |   61   |
|    7       |   2-8-7   |   30   |
|    8       |   2-8   |   16   |
|    9       |   2-0-9   |   87   |
Routing Table for Node No. 2 at Time 90
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   2-0   |   12   |
|    1       |   2-0-1   |   52   |
|    3       |   2-8-7-3   |   168   |
|    4       |   2-0-4   |   56   |
|    5       |   2-5   |   51   |
|    6       |   2-0-6   |   53   |
|    7       |   2-8-7   |   94   |
|    8       |   2-8   |   80   |
|    9       |   2-0-9   |   79   |
