Routing Table for Node No. 7 at Time 10
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   7-8-2-0   |   87   |
|    1       |   7-8-2-0-1   |   127   |
|    2       |   7-8-2   |   65   |
|    3       |   7-3   |   63   |
|    4       |   7-8-2-0-4   |   131   |
|    5       |   7-8-5   |   74   |
|    6       |   7-8-6   |   94   |
|    8       |   7-8   |   17   |
|    9       |   7-8-2-0-9   |   154   |
Routing Table for Node No. 7 at Time 20
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   7-8-2-0   |   87   |
|    1       |   7-4-1   |   112   |
|    2       |   7-8-2   |   65   |
|    3       |   7-3   |   27   |
|    4       |   7-4   |   90   |
|    5       |   7-8-5   |   74   |
|    6       |   7-8-6   |   94   |
|    8       |   7-8   |   17   |
|    9       |   7-8-2-0-9   |   154   |
Routing Table for Node No. 7 at Time 30
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   7-8-2-0   |   90   |
|    1       |   7-8-2-0-1   |   130   |
|    2       |   7-8-2   |   68   |
|    3       |   7-3   |   57   |
|    4       |   7-8-2-0-4   |   134   |
|    5       |   7-8-5   |   77   |
|    6       |   7-8-6   |   97   |
|    8       |   7-8   |   20   |
|    9       |   7-8-2-0-9   |   157   |
Routing Table for Node No. 7 at Time 40
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   7-8-2-0   |   87   |
|    1       |   7-8-2-0-1   |   127   |
|    2       |   7-8-2   |   65   |
|    3       |   7-3   |   83   |
|    4       |   7-8-2-0-4   |   131   |
|    5       |   7-8-5   |   74   |
|    6       |   7-8-6   |   94   |
|    8       |   7-8   |   17   |
|    9       |   7-8-2-0-9   |   154   |
Routing Table for Node No. 7 at Time 50
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   7-4-0   |   87   |
|    1       |   7-4-1   |   71   |
|    2       |   7-8-2   |   67   |
|    3       |   7-3   |   33   |
|    4       |   7-4   |   49   |
|    5       |   7-8-5   |   76   |
|    6       |   7-8-6   |   96   |
|    8       |   7-8   |   19   |
|    9       |   7-4-0-9   |   154   |
Routing Table for Node No. 7 at Time 60
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   7-8-2-0   |   86   |
|    1       |   7-8-2-0-1   |   126   |
|    2       |   7-8-2   |   64   |
|    3       |   7-3   |   61   |
|    4       |   7-8-2-0-4   |   130   |
|    5       |   7-8-5   |   73   |
|    6       |   7-8-6   |   93   |
|    8       |   7-8   |   16   |
|    9       |   7-8-2-0-9   |   153   |
Routing Table for Node No. 7 at Time 70
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   7-8-2-0   |   86   |
|    1       |   7-8-2-0-1   |   126   |
|    2       |   7-8-2   |   64   |
|    3       |   7-3   |   73   |
|    4       |   7-8-2-0-4   |   130   |
|    5       |   7-8-5   |   73   |
|    6       |   7-8-6   |   93   |
|    8       |   7-8   |   16   |
|    9       |   7-8-2-0-9   |   153   |
Routing Table for Node No. 7 at Time 80
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   7-8-2-0   |   83   |
|    1       |   7-8-2-0-1   |   123   |
|    2       |   7-8-2   |   61   |
|    3       |   7-3   |   78   |
|    4       |   7-8-2-0-4   |   127   |
|    5       |   7-8-5   |   70   |
|    6       |   7-8-6   |   90   |
|    8       |   7-8   |   13   |
|    9       |   7-8-2-0-9   |   150   |
Routing Table for Node No. 7 at Time 90
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   7-8-2-0   |   83   |
|    1       |   7-8-2-0-1   |   123   |
|    2       |   7-8-2   |   61   |
|    3       |   7-3   |   66   |
|    4       |   7-8-2-0-4   |   127   |
|    5       |   7-8-5   |   70   |
|    6       |   7-8-6   |   90   |
|    8       |   7-8   |   13   |
|    9       |   7-8-2-0-9   |   150   |
