Routing Table for Node No. 6 at Time 10
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   6-0   |   62   |
|    1       |   6-0-1   |   102   |
|    2       |   6-0-2   |   80   |
|    3       |   6-8-7-3   |   138   |
|    4       |   6-0-4   |   106   |
|    5       |   6-5   |   64   |
|    7       |   6-8-7   |   64   |
|    8       |   6-8   |   50   |
|    9       |   6-9   |   76   |
Routing Table for Node No. 6 at Time 20
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   6-0   |   25   |
|    1       |   6-0-1   |   65   |
|    2       |   6-0-2   |   43   |
|    3       |   6-8-7-3   |   145   |
|    4       |   6-0-4   |   69   |
|    5       |   6-5   |   63   |
|    7       |   6-8-7   |   71   |
|    8       |   6-8   |   57   |
|    9       |   6-9   |   77   |
Routing Table for Node No. 6 at Time 30
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   6-0   |   65   |
|    1       |   6-0-1   |   105   |
|    2       |   6-0-2   |   83   |
|    3       |   6-8-7-3   |   176   |
|    4       |   6-0-4   |   109   |
|    5       |   6-5   |   63   |
|    7       |   6-8-7   |   102   |
|    8       |   6-8   |   88   |
|    9       |   6-9   |   72   |
Routing Table for Node No. 6 at Time 40
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   6-0   |   26   |
|    1       |   6-0-1   |   66   |
|    2       |   6-0-2   |   44   |
|    3       |   6-8-7-3   |   153   |
|    4       |   6-0-4   |   70   |
|    5       |   6-5   |   64   |
|    7       |   6-8-7   |   79   |
|    8       |   6-8   |   65   |
|    9       |   6-9   |   75   |
Routing Table for Node No. 6 at Time 50
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   6-0   |   13   |
|    1       |   6-0-1   |   53   |
|    2       |   6-0-2   |   31   |
|    3       |   6-8-7-3   |   166   |
|    4       |   6-0-4   |   57   |
|    5       |   6-5   |   62   |
|    7       |   6-8-7   |   92   |
|    8       |   6-8   |   78   |
|    9       |   6-9   |   75   |
Routing Table for Node No. 6 at Time 60
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   6-0   |   69   |
|    1       |   6-0-1   |   109   |
|    2       |   6-0-2   |   87   |
|    3       |   6-8-7-3   |   176   |
|    4       |   6-0-4   |   113   |
|    5       |   6-5   |   60   |
|    7       |   6-8-7   |   102   |
|    8       |   6-8   |   88   |
|    9       |   6-9   |   77   |
Routing Table for Node No. 6 at Time 70
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   6-0   |   55   |
|    1       |   6-0-1   |   95   |
|    2       |   6-0-2   |   73   |
|    3       |   6-8-7-3   |   135   |
|    4       |   6-0-4   |   99   |
|    5       |   6-5   |   61   |
|    7       |   6-8-7   |   61   |
|    8       |   6-8   |   47   |
|    9       |   6-9   |   78   |
Routing Table for Node No. 6 at Time 80
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   6-0   |   80   |
|    1       |   6-0-1   |   120   |
|    2       |   6-0-2   |   98   |
|    3       |   6-8-7-3   |   140   |
|    4       |   6-0-4   |   124   |
|    5       |   6-5   |   67   |
|    7       |   6-8-7   |   66   |
|    8       |   6-8   |   52   |
|    9       |   6-9   |   77   |
Routing Table for Node No. 6 at Time 90
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   6-0   |   32   |
|    1       |   6-0-1   |   72   |
|    2       |   6-0-2   |   50   |
|    3       |   6-8-7-3   |   146   |
|    4       |   6-0-4   |   76   |
|    5       |   6-5   |   61   |
|    7       |   6-8-7   |   72   |
|    8       |   6-8   |   58   |
|    9       |   6-9   |   70   |
