Routing Table for Node No. 3 at Time 10
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   3-7-8-2-0   |   108   |
|    1       |   3-7-8-2-0-1   |   148   |
|    2       |   3-7-8-2   |   86   |
|    4       |   3-7-8-2-0-4   |   152   |
|    5       |   3-7-8-5   |   95   |
|    6       |   3-7-8-6   |   115   |
|    7       |   3-7   |   25   |
|    8       |   3-7-8   |   38   |
|    9       |   3-7-8-2-0-9   |   175   |
Routing Table for Node No. 3 at Time 20
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   3-7-8-2-0   |   143   |
|    1       |   3-7-8-2-0-1   |   183   |
|    2       |   3-7-8-2   |   121   |
|    4       |   3-7-8-2-0-4   |   187   |
|    5       |   3-7-8-5   |   130   |
|    6       |   3-7-8-6   |   150   |
|    7       |   3-7   |   60   |
|    8       |   3-7-8   |   73   |
|    9       |   3-7-8-2-0-9   |   210   |
Routing Table for Node No. 3 at Time 30
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   3-7-8-2-0   |   169   |
|    1       |   3-7-8-2-0-1   |   209   |
|    2       |   3-7-8-2   |   147   |
|    4       |   3-7-8-2-0-4   |   213   |
|    5       |   3-7-8-5   |   156   |
|    6       |   3-7-8-6   |   176   |
|    7       |   3-7   |   86   |
|    8       |   3-7-8   |   99   |
|    9       |   3-7-8-2-0-9   |   236   |
Routing Table for Node No. 3 at Time 40
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   3-7-8-2-0   |   161   |
|    1       |   3-7-8-2-0-1   |   201   |
|    2       |   3-7-8-2   |   139   |
|    4       |   3-7-8-2-0-4   |   205   |
|    5       |   3-7-8-5   |   148   |
|    6       |   3-7-8-6   |   168   |
|    7       |   3-7   |   78   |
|    8       |   3-7-8   |   91   |
|    9       |   3-7-8-2-0-9   |   228   |
Routing Table for Node No. 3 at Time 50
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   3-7-8-2-0   |   116   |
|    1       |   3-7-8-2-0-1   |   156   |
|    2       |   3-7-8-2   |   94   |
|    4       |   3-7-8-2-0-4   |   160   |
|    5       |   3-7-8-5   |   103   |
|    6       |   3-7-8-6   |   123   |
|    7       |   3-7   |   33   |
|    8       |   3-7-8   |   46   |
|    9       |   3-7-8-2-0-9   |   183   |
Routing Table for Node No. 3 at Time 60
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   3-7-8-2-0   |   107   |
|    1       |   3-7-8-2-0-1   |   147   |
|    2       |   3-7-8-2   |   85   |
|    4       |   3-7-8-2-0-4   |   151   |
|    5       |   3-7-8-5   |   94   |
|    6       |   3-7-8-6   |   114   |
|    7       |   3-7   |   24   |
|    8       |   3-7-8   |   37   |
|    9       |   3-7-8-2-0-9   |   174   |
Routing Table for Node No. 3 at Time 70
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   3-7-8-2-0   |   111   |
|    1       |   3-7-8-2-0-1   |   151   |
|    2       |   3-7-8-2   |   89   |
|    4       |   3-7-8-2-0-4   |   155   |
|    5       |   3-7-8-5   |   98   |
|    6       |   3-7-8-6   |   118   |
|    7       |   3-7   |   28   |
|    8       |   3-7-8   |   41   |
|    9       |   3-7-8-2-0-9   |   178   |
Routing Table for Node No. 3 at Time 80
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   3-7-8-2-0   |   141   |
|    1       |   3-7-8-2-0-1   |   181   |
|    2       |   3-7-8-2   |   119   |
|    4       |   3-7-8-2-0-4   |   185   |
|    5       |   3-7-8-5   |   128   |
|    6       |   3-7-8-6   |   148   |
|    7       |   3-7   |   58   |
|    8       |   3-7-8   |   71   |
|    9       |   3-7-8-2-0-9   |   208   |
Routing Table for Node No. 3 at Time 90
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   3-7-8-2-0   |   141   |
|    1       |   3-7-8-2-0-1   |   181   |
|    2       |   3-7-8-2   |   119   |
|    4       |   3-7-8-2-0-4   |   185   |
|    5       |   3-7-8-5   |   128   |
|    6       |   3-7-8-6   |   148   |
|    7       |   3-7   |   58   |
|    8       |   3-7-8   |   71   |
|    9       |   3-7-8-2-0-9   |   208   |
