Routing Table for Node No. 6 at Time 10
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   6-0   |   80   |
|    1       |   6-0-1   |   120   |
|    2       |   6-0-2   |   91   |
|    3       |   6-8-7-3   |   156   |
|    4       |   6-0-4   |   124   |
|    5       |   6-5   |   67   |
|    7       |   6-8-7   |   82   |
|    8       |   6-8   |   68   |
|    9       |   6-9   |   75   |
Routing Table for Node No. 6 at Time 20
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   6-0   |   30   |
|    1       |   6-0-1   |   70   |
|    2       |   6-0-2   |   41   |
|    3       |   6-0-2-8-7-3   |   155   |
|    4       |   6-0-4   |   74   |
|    5       |   6-5   |   64   |
|    7       |   6-0-2-8-7   |   81   |
|    8       |   6-0-2-8   |   67   |
|    9       |   6-9   |   74   |
Routing Table for Node No. 6 at Time 30
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   6-0   |   49   |
|    1       |   6-0-1   |   89   |
|    2       |   6-0-2   |   60   |
|    3       |   6-8-7-3   |   144   |
|    4       |   6-0-4   |   93   |
|    5       |   6-5   |   64   |
|    7       |   6-8-7   |   70   |
|    8       |   6-8   |   56   |
|    9       |   6-9   |   71   |
Routing Table for Node No. 6 at Time 40
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   6-0   |   53   |
|    1       |   6-0-1   |   93   |
|    2       |   6-0-2   |   64   |
|    3       |   6-8-7-3   |   133   |
|    4       |   6-0-4   |   97   |
|    5       |   6-5   |   64   |
|    7       |   6-8-7   |   59   |
|    8       |   6-8   |   45   |
|    9       |   6-9   |   77   |
Routing Table for Node No. 6 at Time 50
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   6-0   |   16   |
|    1       |   6-0-1   |   56   |
|    2       |   6-0-2   |   27   |
|    3       |   6-0-2-8-7-3   |   141   |
|    4       |   6-0-4   |   60   |
|    5       |   6-5   |   68   |
|    7       |   6-0-2-8-7   |   67   |
|    8       |   6-0-2-8   |   53   |
|    9       |   6-9   |   75   |
Routing Table for Node No. 6 at Time 60
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   6-0   |   27   |
|    1       |   6-0-1   |   67   |
|    2       |   6-0-2   |   38   |
|    3       |   6-0-2-8-7-3   |   152   |
|    4       |   6-0-4   |   71   |
|    5       |   6-5   |   62   |
|    7       |   6-0-2-8-7   |   78   |
|    8       |   6-0-2-8   |   64   |
|    9       |   6-9   |   78   |
Routing Table for Node No. 6 at Time 70
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   6-0   |   19   |
|    1       |   6-0-1   |   59   |
|    2       |   6-0-2   |   30   |
|    3       |   6-0-2-8-7-3   |   144   |
|    4       |   6-0-4   |   63   |
|    5       |   6-5   |   66   |
|    7       |   6-0-2-8-7   |   70   |
|    8       |   6-0-2-8   |   56   |
|    9       |   6-9   |   70   |
Routing Table for Node No. 6 at Time 80
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   6-0   |   35   |
|    1       |   6-0-1   |   75   |
|    2       |   6-0-2   |   46   |
|    3       |   6-0-2-8-7-3   |   160   |
|    4       |   6-0-4   |   79   |
|    5       |   6-5   |   61   |
|    7       |   6-0-2-8-7   |   86   |
|    8       |   6-0-2-8   |   72   |
|    9       |   6-9   |   77   |
Routing Table for Node No. 6 at Time 90
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   6-0   |   17   |
|    1       |   6-0-1   |   57   |
|    2       |   6-0-2   |   28   |
|    3       |   6-0-2-8-7-3   |   142   |
|    4       |   6-0-4   |   61   |
|    5       |   6-5   |   63   |
|    7       |   6-0-2-8-7   |   68   |
|    8       |   6-0-2-8   |   54   |
|    9       |   6-9   |   79   |
