Routing Table for Node No. 0 at Time 10
|    Dest    |   Path    |    Cost    |
|    1       |   0-1   |   37   |
|    2       |   0-2   |   17   |
|    3       |   0-2-8-7-3   |   116   |
|    4       |   0-4   |   43   |
|    5       |   0-2-8-5   |   85   |
|    6       |   0-6   |   68   |
|    7       |   0-2-8-7   |   42   |
|    8       |   0-2-8   |   28   |
|    9       |   0-9   |   76   |
Routing Table for Node No. 0 at Time 20
|    Dest    |   Path    |    Cost    |
|    1       |   0-1   |   36   |
|    2       |   0-2   |   11   |
|    3       |   0-2-8-7-3   |   110   |
|    4       |   0-4   |   31   |
|    5       |   0-2-8-5   |   79   |
|    6       |   0-6   |   68   |
|    7       |   0-2-8-7   |   36   |
|    8       |   0-2-8   |   22   |
|    9       |   0-9   |   75   |
Routing Table for Node No. 0 at Time 30
|    Dest    |   Path    |    Cost    |
|    1       |   0-1   |   31   |
|    2       |   0-2   |   24   |
|    3       |   0-2-8-7-3   |   123   |
|    4       |   0-4   |   45   |
|    5       |   0-2-8-5   |   92   |
|    6       |   0-6   |   71   |
|    7       |   0-2-8-7   |   49   |
|    8       |   0-2-8   |   35   |
|    9       |   0-9   |   60   |
Routing Table for Node No. 0 at Time 40
|    Dest    |   Path    |    Cost    |
|    1       |   0-1   |   33   |
|    2       |   0-2   |   22   |
|    3       |   0-2-8-7-3   |   121   |
|    4       |   0-4   |   22   |
|    5       |   0-2-8-5   |   90   |
|    6       |   0-6   |   54   |
|    7       |   0-2-8-7   |   47   |
|    8       |   0-2-8   |   33   |
|    9       |   0-9   |   83   |
Routing Table for Node No. 0 at Time 50
|    Dest    |   Path    |    Cost    |
|    1       |   0-1   |   44   |
|    2       |   0-2   |   14   |
|    3       |   0-2-8-7-3   |   113   |
|    4       |   0-4   |   46   |
|    5       |   0-2-8-5   |   82   |
|    6       |   0-6   |   37   |
|    7       |   0-2-8-7   |   39   |
|    8       |   0-2-8   |   25   |
|    9       |   0-9   |   94   |
Routing Table for Node No. 0 at Time 60
|    Dest    |   Path    |    Cost    |
|    1       |   0-1   |   32   |
|    2       |   0-2   |   16   |
|    3       |   0-2-8-7-3   |   115   |
|    4       |   0-4   |   33   |
|    5       |   0-2-8-5   |   84   |
|    6       |   0-6   |   29   |
|    7       |   0-2-8-7   |   41   |
|    8       |   0-2-8   |   27   |
|    9       |   0-9   |   69   |
Routing Table for Node No. 0 at Time 70
|    Dest    |   Path    |    Cost    |
|    1       |   0-1   |   41   |
|    2       |   0-2   |   24   |
|    3       |   0-2-8-7-3   |   123   |
|    4       |   0-4   |   40   |
|    5       |   0-2-8-5   |   92   |
|    6       |   0-6   |   43   |
|    7       |   0-2-8-7   |   49   |
|    8       |   0-2-8   |   35   |
|    9       |   0-9   |   60   |
Routing Table for Node No. 0 at Time 80
|    Dest    |   Path    |    Cost    |
|    1       |   0-1   |   43   |
|    2       |   0-2   |   18   |
|    3       |   0-2-8-7-3   |   117   |
|    4       |   0-4   |   49   |
|    5       |   0-6-5   |   83   |
|    6       |   0-6   |   19   |
|    7       |   0-2-8-7   |   43   |
|    8       |   0-2-8   |   29   |
|    9       |   0-9   |   88   |
Routing Table for Node No. 0 at Time 90
|    Dest    |   Path    |    Cost    |
|    1       |   0-1   |   33   |
|    2       |   0-2   |   14   |
|    3       |   0-2-8-7-3   |   113   |
|    4       |   0-4   |   35   |
|    5       |   0-2-8-5   |   82   |
|    6       |   0-6   |   31   |
|    7       |   0-2-8-7   |   39   |
|    8       |   0-2-8   |   25   |
|    9       |   0-9   |   69   |
