Routing Table for Node No. 9 at Time 10
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   9-0   |   98   |
|    1       |   9-0-1   |   138   |
|    2       |   9-0-2   |   109   |
|    3       |   9-0-2-8-7-3   |   223   |
|    4       |   9-0-4   |   142   |
|    5       |   9-5   |   109   |
|    6       |   9-6   |   80   |
|    7       |   9-0-2-8-7   |   149   |
|    8       |   9-0-2-8   |   135   |
Routing Table for Node No. 9 at Time 20
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   9-0   |   82   |
|    1       |   9-0-1   |   122   |
|    2       |   9-0-2   |   93   |
|    3       |   9-0-2-8-7-3   |   207   |
|    4       |   9-0-4   |   126   |
|    5       |   9-6-5   |   136   |
|    6       |   9-6   |   72   |
|    7       |   9-0-2-8-7   |   133   |
|    8       |   9-0-2-8   |   119   |
Routing Table for Node No. 9 at Time 30
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   9-0   |   76   |
|    1       |   9-0-1   |   116   |
|    2       |   9-0-2   |   87   |
|    3       |   9-0-2-8-7-3   |   201   |
|    4       |   9-0-4   |   120   |
|    5       |   9-6-5   |   136   |
|    6       |   9-6   |   72   |
|    7       |   9-0-2-8-7   |   127   |
|    8       |   9-0-2-8   |   113   |
Routing Table for Node No. 9 at Time 40
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   9-0   |   77   |
|    1       |   9-0-1   |   117   |
|    2       |   9-0-2   |   88   |
|    3       |   9-0-2-8-7-3   |   202   |
|    4       |   9-0-4   |   121   |
|    5       |   9-5   |   134   |
|    6       |   9-6   |   77   |
|    7       |   9-0-2-8-7   |   128   |
|    8       |   9-0-2-8   |   114   |
Routing Table for Node No. 9 at Time 50
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   9-0   |   82   |
|    1       |   9-0-1   |   122   |
|    2       |   9-0-2   |   93   |
|    3       |   9-0-2-8-7-3   |   207   |
|    4       |   9-0-4   |   126   |
|    5       |   9-6-5   |   138   |
|    6       |   9-6   |   74   |
|    7       |   9-0-2-8-7   |   133   |
|    8       |   9-0-2-8   |   119   |
Routing Table for Node No. 9 at Time 60
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   9-0   |   60   |
|    1       |   9-0-1   |   100   |
|    2       |   9-0-2   |   71   |
|    3       |   9-0-2-8-7-3   |   185   |
|    4       |   9-0-4   |   104   |
|    5       |   9-5   |   126   |
|    6       |   9-6   |   71   |
|    7       |   9-0-2-8-7   |   111   |
|    8       |   9-0-2-8   |   97   |
Routing Table for Node No. 9 at Time 70
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   9-0   |   93   |
|    1       |   9-0-1   |   133   |
|    2       |   9-0-2   |   104   |
|    3       |   9-6-8-7-3   |   218   |
|    4       |   9-0-4   |   137   |
|    5       |   9-5   |   114   |
|    6       |   9-6   |   71   |
|    7       |   9-6-8-7   |   144   |
|    8       |   9-6-8   |   130   |
Routing Table for Node No. 9 at Time 80
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   9-0   |   76   |
|    1       |   9-0-1   |   116   |
|    2       |   9-0-2   |   87   |
|    3       |   9-0-2-8-7-3   |   201   |
|    4       |   9-0-4   |   120   |
|    5       |   9-5   |   105   |
|    6       |   9-6   |   71   |
|    7       |   9-0-2-8-7   |   127   |
|    8       |   9-0-2-8   |   113   |
Routing Table for Node No. 9 at Time 90
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   9-0   |   76   |
|    1       |   9-0-1   |   116   |
|    2       |   9-0-2   |   87   |
|    3       |   9-0-2-8-7-3   |   201   |
|    4       |   9-0-4   |   120   |
|    5       |   9-5   |   116   |
|    6       |   9-6   |   74   |
|    7       |   9-0-2-8-7   |   127   |
|    8       |   9-0-2-8   |   113   |
