Routing Table for Node No. 1 at Time 10
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   1-0   |   44   |
|    2       |   1-0-2   |   55   |
|    3       |   1-0-2-8-7-3   |   169   |
|    4       |   1-4   |   30   |
|    5       |   1-0-2-5   |   127   |
|    6       |   1-0-6   |   85   |
|    7       |   1-0-2-8-7   |   95   |
|    8       |   1-0-2-8   |   81   |
|    9       |   1-0-9   |   123   |
Routing Table for Node No. 1 at Time 20
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   1-0   |   40   |
|    2       |   1-0-2   |   51   |
|    3       |   1-0-2-8-7-3   |   165   |
|    4       |   1-4   |   24   |
|    5       |   1-0-2-5   |   123   |
|    6       |   1-0-6   |   81   |
|    7       |   1-0-2-8-7   |   91   |
|    8       |   1-0-2-8   |   77   |
|    9       |   1-0-9   |   119   |
Routing Table for Node No. 1 at Time 30
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   1-0   |   50   |
|    2       |   1-0-2   |   61   |
|    3       |   1-0-2-8-7-3   |   175   |
|    4       |   1-4   |   30   |
|    5       |   1-0-2-5   |   133   |
|    6       |   1-0-6   |   91   |
|    7       |   1-0-2-8-7   |   101   |
|    8       |   1-0-2-8   |   87   |
|    9       |   1-0-9   |   129   |
Routing Table for Node No. 1 at Time 40
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   1-0   |   31   |
|    2       |   1-0-2   |   42   |
|    3       |   1-0-2-8-7-3   |   156   |
|    4       |   1-4   |   24   |
|    5       |   1-0-2-5   |   114   |
|    6       |   1-0-6   |   72   |
|    7       |   1-0-2-8-7   |   82   |
|    8       |   1-0-2-8   |   68   |
|    9       |   1-0-9   |   110   |
Routing Table for Node No. 1 at Time 50
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   1-0   |   32   |
|    2       |   1-0-2   |   43   |
|    3       |   1-0-2-8-7-3   |   157   |
|    4       |   1-4   |   26   |
|    5       |   1-0-2-5   |   115   |
|    6       |   1-0-6   |   73   |
|    7       |   1-0-2-8-7   |   83   |
|    8       |   1-0-2-8   |   69   |
|    9       |   1-0-9   |   111   |
Routing Table for Node No. 1 at Time 60
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   1-0   |   37   |
|    2       |   1-0-2   |   48   |
|    3       |   1-0-2-8-7-3   |   162   |
|    4       |   1-4   |   28   |
|    5       |   1-0-2-5   |   120   |
|    6       |   1-0-6   |   78   |
|    7       |   1-0-2-8-7   |   88   |
|    8       |   1-0-2-8   |   74   |
|    9       |   1-0-9   |   116   |
Routing Table for Node No. 1 at Time 70
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   1-0   |   44   |
|    2       |   1-0-2   |   55   |
|    3       |   1-0-2-8-7-3   |   169   |
|    4       |   1-4   |   29   |
|    5       |   1-0-2-5   |   127   |
|    6       |   1-0-6   |   85   |
|    7       |   1-0-2-8-7   |   95   |
|    8       |   1-0-2-8   |   81   |
|    9       |   1-0-9   |   123   |
Routing Table for Node No. 1 at Time 80
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   1-0   |   47   |
|    2       |   1-0-2   |   58   |
|    3       |   1-0-2-8-7-3   |   172   |
|    4       |   1-4   |   27   |
|    5       |   1-0-2-5   |   130   |
|    6       |   1-0-6   |   88   |
|    7       |   1-0-2-8-7   |   98   |
|    8       |   1-0-2-8   |   84   |
|    9       |   1-0-9   |   126   |
Routing Table for Node No. 1 at Time 90
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   1-0   |   46   |
|    2       |   1-0-2   |   57   |
|    3       |   1-0-2-8-7-3   |   171   |
|    4       |   1-4   |   28   |
|    5       |   1-0-2-5   |   129   |
|    6       |   1-0-6   |   87   |
|    7       |   1-0-2-8-7   |   97   |
|    8       |   1-0-2-8   |   83   |
|    9       |   1-0-9   |   125   |
