Routing Table for Node No. 4 at Time 10
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   4-0   |   43   |
|    1       |   4-1   |   22   |
|    2       |   4-0-2   |   54   |
|    3       |   4-0-2-8-7-3   |   168   |
|    5       |   4-0-2-5   |   126   |
|    6       |   4-0-6   |   84   |
|    7       |   4-0-2-8-7   |   94   |
|    8       |   4-0-2-8   |   80   |
|    9       |   4-0-9   |   122   |
Routing Table for Node No. 4 at Time 20
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   4-0   |   49   |
|    1       |   4-1   |   26   |
|    2       |   4-0-2   |   60   |
|    3       |   4-7-3   |   121   |
|    5       |   4-7-8-5   |   122   |
|    6       |   4-0-6   |   90   |
|    7       |   4-7   |   47   |
|    8       |   4-7-8   |   65   |
|    9       |   4-0-9   |   128   |
Routing Table for Node No. 4 at Time 30
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   4-0   |   45   |
|    1       |   4-1   |   29   |
|    2       |   4-0-2   |   56   |
|    3       |   4-0-2-8-7-3   |   170   |
|    5       |   4-0-2-5   |   128   |
|    6       |   4-0-6   |   86   |
|    7       |   4-0-2-8-7   |   96   |
|    8       |   4-0-2-8   |   82   |
|    9       |   4-0-9   |   124   |
Routing Table for Node No. 4 at Time 40
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   4-0   |   57   |
|    1       |   4-1   |   28   |
|    2       |   4-0-2   |   68   |
|    3       |   4-0-2-8-7-3   |   182   |
|    5       |   4-0-2-5   |   140   |
|    6       |   4-0-6   |   98   |
|    7       |   4-0-2-8-7   |   108   |
|    8       |   4-0-2-8   |   94   |
|    9       |   4-0-9   |   136   |
Routing Table for Node No. 4 at Time 50
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   4-0   |   49   |
|    1       |   4-1   |   24   |
|    2       |   4-0-2   |   60   |
|    3       |   4-0-2-8-7-3   |   174   |
|    5       |   4-0-2-5   |   132   |
|    6       |   4-0-6   |   90   |
|    7       |   4-0-2-8-7   |   100   |
|    8       |   4-0-2-8   |   86   |
|    9       |   4-0-9   |   128   |
Routing Table for Node No. 4 at Time 60
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   4-0   |   43   |
|    1       |   4-1   |   26   |
|    2       |   4-0-2   |   54   |
|    3       |   4-0-2-8-7-3   |   168   |
|    5       |   4-0-2-5   |   126   |
|    6       |   4-0-6   |   84   |
|    7       |   4-0-2-8-7   |   94   |
|    8       |   4-0-2-8   |   80   |
|    9       |   4-0-9   |   122   |
Routing Table for Node No. 4 at Time 70
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   4-0   |   41   |
|    1       |   4-1   |   21   |
|    2       |   4-0-2   |   52   |
|    3       |   4-0-2-8-7-3   |   166   |
|    5       |   4-0-2-5   |   124   |
|    6       |   4-0-6   |   82   |
|    7       |   4-0-2-8-7   |   92   |
|    8       |   4-0-2-8   |   78   |
|    9       |   4-0-9   |   120   |
Routing Table for Node No. 4 at Time 80
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   4-0   |   35   |
|    1       |   4-1   |   22   |
|    2       |   4-0-2   |   46   |
|    3       |   4-0-2-8-7-3   |   160   |
|    5       |   4-0-2-5   |   118   |
|    6       |   4-0-6   |   76   |
|    7       |   4-0-2-8-7   |   86   |
|    8       |   4-0-2-8   |   72   |
|    9       |   4-0-9   |   114   |
Routing Table for Node No. 4 at Time 90
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   4-0   |   23   |
|    1       |   4-1   |   26   |
|    2       |   4-0-2   |   34   |
|    3       |   4-0-2-8-7-3   |   148   |
|    5       |   4-0-2-5   |   106   |
|    6       |   4-0-6   |   64   |
|    7       |   4-0-2-8-7   |   74   |
|    8       |   4-0-2-8   |   60   |
|    9       |   4-0-9   |   102   |
