Routing Table for Node No. 3 at Time 10
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   3-7-8-2-0   |   108   |
|    1       |   3-7-8-2-0-1   |   148   |
|    2       |   3-7-8-2   |   89   |
|    4       |   3-7-8-2-0-4   |   152   |
|    5       |   3-7-8-5   |   120   |
|    6       |   3-7-8-6   |   140   |
|    7       |   3-7   |   45   |
|    8       |   3-7-8   |   63   |
|    9       |   3-7-8-2-0-9   |   187   |
Routing Table for Node No. 3 at Time 20
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   3-7-8-2-0   |   128   |
|    1       |   3-7-8-2-0-1   |   168   |
|    2       |   3-7-8-2   |   109   |
|    4       |   3-7-8-2-0-4   |   172   |
|    5       |   3-7-8-5   |   140   |
|    6       |   3-7-8-6   |   160   |
|    7       |   3-7   |   65   |
|    8       |   3-7-8   |   83   |
|    9       |   3-7-8-2-0-9   |   207   |
Routing Table for Node No. 3 at Time 30
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   3-7-8-2-0   |   108   |
|    1       |   3-7-8-2-0-1   |   148   |
|    2       |   3-7-8-2   |   89   |
|    4       |   3-7-8-2-0-4   |   152   |
|    5       |   3-7-8-5   |   120   |
|    6       |   3-7-8-6   |   140   |
|    7       |   3-7   |   45   |
|    8       |   3-7-8   |   63   |
|    9       |   3-7-8-2-0-9   |   187   |
Routing Table for Node No. 3 at Time 40
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   3-7-8-2-0   |   112   |
|    1       |   3-7-8-2-0-1   |   152   |
|    2       |   3-7-8-2   |   93   |
|    4       |   3-7-8-2-0-4   |   156   |
|    5       |   3-7-8-5   |   124   |
|    6       |   3-7-8-6   |   144   |
|    7       |   3-7   |   49   |
|    8       |   3-7-8   |   67   |
|    9       |   3-7-8-2-0-9   |   191   |
Routing Table for Node No. 3 at Time 50
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   3-7-8-2-0   |   145   |
|    1       |   3-7-8-2-0-1   |   185   |
|    2       |   3-7-8-2   |   126   |
|    4       |   3-7-8-2-0-4   |   189   |
|    5       |   3-7-8-5   |   157   |
|    6       |   3-7-8-6   |   177   |
|    7       |   3-7   |   82   |
|    8       |   3-7-8   |   100   |
|    9       |   3-7-8-2-0-9   |   224   |
Routing Table for Node No. 3 at Time 60
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   3-7-8-2-0   |   141   |
|    1       |   3-7-8-2-0-1   |   181   |
|    2       |   3-7-8-2   |   122   |
|    4       |   3-7-8-2-0-4   |   185   |
|    5       |   3-7-8-5   |   153   |
|    6       |   3-7-8-6   |   173   |
|    7       |   3-7   |   78   |
|    8       |   3-7-8   |   96   |
|    9       |   3-7-8-2-0-9   |   220   |
Routing Table for Node No. 3 at Time 70
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   3-7-8-2-0   |   153   |
|    1       |   3-7-8-2-0-1   |   193   |
|    2       |   3-7-8-2   |   134   |
|    4       |   3-7-8-2-0-4   |   197   |
|    5       |   3-7-8-5   |   165   |
|    6       |   3-7-8-6   |   185   |
|    7       |   3-7   |   90   |
|    8       |   3-7-8   |   108   |
|    9       |   3-7-8-2-0-9   |   232   |
Routing Table for Node No. 3 at Time 80
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   3-7-8-2-0   |   93   |
|    1       |   3-7-8-2-0-1   |   133   |
|    2       |   3-7-8-2   |   74   |
|    4       |   3-7-8-2-0-4   |   137   |
|    5       |   3-7-8-5   |   105   |
|    6       |   3-7-8-6   |   125   |
|    7       |   3-7   |   30   |
|    8       |   3-7-8   |   48   |
|    9       |   3-7-8-2-0-9   |   172   |
Routing Table for Node No. 3 at Time 90
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   3-7-8-2-0   |   102   |
|    1       |   3-7-8-2-0-1   |   142   |
|    2       |   3-7-8-2   |   83   |
|    4       |   3-7-8-2-0-4   |   146   |
|    5       |   3-7-8-5   |   114   |
|    6       |   3-7-8-6   |   134   |
|    7       |   3-7   |   39   |
|    8       |   3-7-8   |   57   |
|    9       |   3-7-8-2-0-9   |   181   |
