Routing Table for Node No. 7 at Time 10
|    Dest    |   Path    |    Cost    |
|    0       |   7-8-2-0   |   65   |
|    1       |   7-8-2-0-1   |   105   |
|    2       |   7-8-2   |   43   |
|    3       |   7-3   |   28   |
|    4       |   7-8-2-0-4   |   103   |
|    5       |   7-8-5   |   74   |
|    6       |   7-8-6   |   94   |
|    8       |   7-8   |   17   |
|    9       |   7-8-2-0-9   |   132   |
Routing Table for Node No. 7 at Time 20
|    Dest    |   Path    |    Cost    |
|    0       |   7-8-2-0   |   62   |
|    1       |   7-8-2-0-1   |   102   |
|    2       |   7-8-2   |   40   |
|    3       |   7-3   |   50   |
|    4       |   7-8-2-0-4   |   100   |
|    5       |   7-8-5   |   71   |
|    6       |   7-8-6   |   91   |
|    8       |   7-8   |   14   |
|    9       |   7-8-2-0-9   |   129   |
Routing Table for Node No. 7 at Time 30
|    Dest    |   Path    |    Cost    |
|    0       |   7-8-2-0   |   67   |
|    1       |   7-8-2-0-1   |   107   |
|    2       |   7-8-2   |   45   |
|    3       |   7-3   |   50   |
|    4       |   7-8-2-0-4   |   105   |
|    5       |   7-8-5   |   76   |
|    6       |   7-8-6   |   96   |
|    8       |   7-8   |   19   |
|    9       |   7-8-2-0-9   |   134   |
Routing Table for Node No. 7 at Time 40
|    Dest    |   Path    |    Cost    |
|    0       |   7-8-2-0   |   62   |
|    1       |   7-8-2-0-1   |   102   |
|    2       |   7-8-2   |   40   |
|    3       |   7-3   |   27   |
|    4       |   7-4   |   86   |
|    5       |   7-8-5   |   71   |
|    6       |   7-8-6   |   91   |
|    8       |   7-8   |   14   |
|    9       |   7-8-2-0-9   |   129   |
Routing Table for Node No. 7 at Time 50
|    Dest    |   Path    |    Cost    |
|    0       |   7-8-2-0   |   58   |
|    1       |   7-8-2-0-1   |   98   |
|    2       |   7-8-2   |   36   |
|    3       |   7-3   |   38   |
|    4       |   7-8-2-0-4   |   96   |
|    5       |   7-8-5   |   67   |
|    6       |   7-8-6   |   87   |
|    8       |   7-8   |   10   |
|    9       |   7-8-2-0-9   |   125   |
Routing Table for Node No. 7 at Time 60
|    Dest    |   Path    |    Cost    |
|    0       |   7-8-2-0   |   66   |
|    1       |   7-8-2-0-1   |   106   |
|    2       |   7-8-2   |   44   |
|    3       |   7-3   |   56   |
|    4       |   7-8-2-0-4   |   104   |
|    5       |   7-8-5   |   75   |
|    6       |   7-8-6   |   95   |
|    8       |   7-8   |   18   |
|    9       |   7-8-2-0-9   |   133   |
Routing Table for Node No. 7 at Time 70
|    Dest    |   Path    |    Cost    |
|    0       |   7-8-2-0   |   59   |
|    1       |   7-8-2-0-1   |   99   |
|    2       |   7-8-2   |   37   |
|    3       |   7-3   |   82   |
|    4       |   7-8-2-0-4   |   97   |
|    5       |   7-8-5   |   68   |
|    6       |   7-8-6   |   88   |
|    8       |   7-8   |   11   |
|    9       |   7-8-2-0-9   |   126   |
Routing Table for Node No. 7 at Time 80
|    Dest    |   Path    |    Cost    |
|    0       |   7-8-2-0   |   59   |
|    1       |   7-8-2-0-1   |   99   |
|    2       |   7-8-2   |   37   |
|    3       |   7-3   |   53   |
|    4       |   7-4   |   94   |
|    5       |   7-8-5   |   68   |
|    6       |   7-8-6   |   88   |
|    8       |   7-8   |   11   |
|    9       |   7-8-2-0-9   |   126   |
Routing Table for Node No. 7 at Time 90
|    Dest    |   Path    |    Cost    |
|    0       |   7-8-2-0   |   62   |
|    1       |   7-8-2-0-1   |   102   |
|    2       |   7-8-2   |   40   |
|    3       |   7-3   |   59   |
|    4       |   7-8-2-0-4   |   100   |
|    5       |   7-8-5   |   71   |
|    6       |   7-8-6   |   91   |
|    8       |   7-8   |   14   |
|    9       |   7-8-2-0-9   |   129   |
