Routing Table for Node No. 5 at Time 10
|    Dest    |   Path    |    Cost    |
|    0       |   5-8-2-0   |   70   |
|    1       |   5-8-2-0-1   |   110   |
|    2       |   5-8-2   |   48   |
|    3       |   5-8-7-3   |   110   |
|    4       |   5-8-2-0-4   |   108   |
|    6       |   5-6   |   64   |
|    7       |   5-8-7   |   36   |
|    8       |   5-8   |   22   |
|    9       |   5-9   |   128   |
Routing Table for Node No. 5 at Time 20
|    Dest    |   Path    |    Cost    |
|    0       |   5-2-0   |   84   |
|    1       |   5-2-0-1   |   124   |
|    2       |   5-2   |   62   |
|    3       |   5-8-7-3   |   125   |
|    4       |   5-2-0-4   |   122   |
|    6       |   5-6   |   64   |
|    7       |   5-8-7   |   51   |
|    8       |   5-8   |   37   |
|    9       |   5-6-9   |   134   |
Routing Table for Node No. 5 at Time 30
|    Dest    |   Path    |    Cost    |
|    0       |   5-8-2-0   |   104   |
|    1       |   5-8-2-0-1   |   144   |
|    2       |   5-8-2   |   82   |
|    3       |   5-8-7-3   |   144   |
|    4       |   5-8-2-0-4   |   142   |
|    6       |   5-6   |   61   |
|    7       |   5-8-7   |   70   |
|    8       |   5-8   |   56   |
|    9       |   5-6-9   |   131   |
Routing Table for Node No. 5 at Time 40
|    Dest    |   Path    |    Cost    |
|    0       |   5-2-0   |   67   |
|    1       |   5-2-0-1   |   107   |
|    2       |   5-2   |   45   |
|    3       |   5-8-7-3   |   139   |
|    4       |   5-2-0-4   |   105   |
|    6       |   5-6   |   64   |
|    7       |   5-8-7   |   65   |
|    8       |   5-8   |   51   |
|    9       |   5-6-9   |   134   |
Routing Table for Node No. 5 at Time 50
|    Dest    |   Path    |    Cost    |
|    0       |   5-8-2-0   |   73   |
|    1       |   5-8-2-0-1   |   113   |
|    2       |   5-8-2   |   51   |
|    3       |   5-8-7-3   |   113   |
|    4       |   5-8-2-0-4   |   111   |
|    6       |   5-6   |   60   |
|    7       |   5-8-7   |   39   |
|    8       |   5-8   |   25   |
|    9       |   5-9   |   111   |
Routing Table for Node No. 5 at Time 60
|    Dest    |   Path    |    Cost    |
|    0       |   5-8-2-0   |   81   |
|    1       |   5-8-2-0-1   |   121   |
|    2       |   5-8-2   |   59   |
|    3       |   5-8-7-3   |   121   |
|    4       |   5-8-2-0-4   |   119   |
|    6       |   5-6   |   64   |
|    7       |   5-8-7   |   47   |
|    8       |   5-8   |   33   |
|    9       |   5-6-9   |   134   |
Routing Table for Node No. 5 at Time 70
|    Dest    |   Path    |    Cost    |
|    0       |   5-8-2-0   |   80   |
|    1       |   5-8-2-0-1   |   120   |
|    2       |   5-8-2   |   58   |
|    3       |   5-8-7-3   |   120   |
|    4       |   5-8-2-0-4   |   118   |
|    6       |   5-6   |   68   |
|    7       |   5-8-7   |   46   |
|    8       |   5-8   |   32   |
|    9       |   5-9   |   138   |
Routing Table for Node No. 5 at Time 80
|    Dest    |   Path    |    Cost    |
|    0       |   5-2-0   |   97   |
|    1       |   5-2-0-1   |   137   |
|    2       |   5-2   |   75   |
|    3       |   5-8-7-3   |   147   |
|    4       |   5-2-0-4   |   135   |
|    6       |   5-6   |   67   |
|    7       |   5-8-7   |   73   |
|    8       |   5-8   |   59   |
|    9       |   5-9   |   124   |
Routing Table for Node No. 5 at Time 90
|    Dest    |   Path    |    Cost    |
|    0       |   5-8-2-0   |   86   |
|    1       |   5-8-2-0-1   |   126   |
|    2       |   5-8-2   |   64   |
|    3       |   5-8-7-3   |   126   |
|    4       |   5-8-2-0-4   |   124   |
|    6       |   5-6   |   61   |
|    7       |   5-8-7   |   52   |
|    8       |   5-8   |   38   |
|    9       |   5-9   |   104   |
