Routing Table for Node No. 8 at Time 10
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   8-2-0   |   59   |
|    1       |   8-2-0-1   |   99   |
|    2       |   8-2   |   40   |
|    3       |   8-3   |   94   |
|    4       |   8-2-0-4   |   103   |
|    5       |   8-5   |   39   |
|    6       |   8-6   |   60   |
|    7       |   8-7   |   20   |
|    9       |   8-6-9   |   130   |
Routing Table for Node No. 8 at Time 20
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   8-2-0   |   29   |
|    1       |   8-2-0-1   |   69   |
|    2       |   8-2   |   10   |
|    3       |   8-3   |   86   |
|    4       |   8-2-0-4   |   73   |
|    5       |   8-5   |   63   |
|    6       |   8-2-0-6   |   70   |
|    7       |   8-7   |   17   |
|    9       |   8-2-0-9   |   108   |
Routing Table for Node No. 8 at Time 30
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   8-2-0   |   43   |
|    1       |   8-2-0-1   |   83   |
|    2       |   8-2   |   24   |
|    3       |   8-7-3   |   87   |
|    4       |   8-2-0-4   |   87   |
|    5       |   8-5   |   51   |
|    6       |   8-6   |   65   |
|    7       |   8-7   |   13   |
|    9       |   8-2-0-9   |   122   |
Routing Table for Node No. 8 at Time 40
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   8-2-0   |   90   |
|    1       |   8-2-0-1   |   130   |
|    2       |   8-2   |   71   |
|    3       |   8-7-3   |   91   |
|    4       |   8-2-0-4   |   134   |
|    5       |   8-5   |   62   |
|    6       |   8-6   |   46   |
|    7       |   8-7   |   17   |
|    9       |   8-6-9   |   116   |
Routing Table for Node No. 8 at Time 50
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   8-2-0   |   86   |
|    1       |   8-2-0-1   |   126   |
|    2       |   8-2   |   67   |
|    3       |   8-7-3   |   86   |
|    4       |   8-2-0-4   |   130   |
|    5       |   8-5   |   13   |
|    6       |   8-6   |   44   |
|    7       |   8-7   |   12   |
|    9       |   8-6-9   |   114   |
Routing Table for Node No. 8 at Time 60
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   8-2-0   |   33   |
|    1       |   8-2-0-1   |   73   |
|    2       |   8-2   |   14   |
|    3       |   8-7-3   |   90   |
|    4       |   8-2-0-4   |   77   |
|    5       |   8-5   |   12   |
|    6       |   8-2-0-6   |   74   |
|    7       |   8-7   |   16   |
|    9       |   8-2-0-9   |   112   |
Routing Table for Node No. 8 at Time 70
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   8-2-0   |   75   |
|    1       |   8-2-0-1   |   115   |
|    2       |   8-2   |   56   |
|    3       |   8-3   |   87   |
|    4       |   8-2-0-4   |   119   |
|    5       |   8-5   |   45   |
|    6       |   8-6   |   76   |
|    7       |   8-7   |   14   |
|    9       |   8-6-9   |   146   |
Routing Table for Node No. 8 at Time 80
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   8-2-0   |   80   |
|    1       |   8-2-0-1   |   120   |
|    2       |   8-2   |   61   |
|    3       |   8-7-3   |   85   |
|    4       |   8-2-0-4   |   124   |
|    5       |   8-5   |   18   |
|    6       |   8-6   |   72   |
|    7       |   8-7   |   11   |
|    9       |   8-6-9   |   142   |
Routing Table for Node No. 8 at Time 90
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   8-2-0   |   65   |
|    1       |   8-2-0-1   |   105   |
|    2       |   8-2   |   46   |
|    3       |   8-7-3   |   92   |
|    4       |   8-2-0-4   |   109   |
|    5       |   8-5   |   30   |
|    6       |   8-6   |   64   |
|    7       |   8-7   |   18   |
|    9       |   8-6-9   |   134   |
