Routing Table for Node No. 4 at Time 10
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   4-0   |   20   |
|    1       |   4-1   |   23   |
|    2       |   4-0-2   |   38   |
|    3       |   4-0-2-8-7-3   |   174   |
|    5       |   4-0-2-5   |   110   |
|    6       |   4-0-6   |   61   |
|    7       |   4-0-2-8-7   |   100   |
|    8       |   4-0-2-8   |   86   |
|    9       |   4-0-9   |   87   |
Routing Table for Node No. 4 at Time 20
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   4-0   |   45   |
|    1       |   4-1   |   25   |
|    2       |   4-0-2   |   63   |
|    3       |   4-0-2-8-7-3   |   199   |
|    5       |   4-0-2-5   |   135   |
|    6       |   4-0-6   |   86   |
|    7       |   4-0-2-8-7   |   125   |
|    8       |   4-0-2-8   |   111   |
|    9       |   4-0-9   |   112   |
Routing Table for Node No. 4 at Time 30
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   4-0   |   40   |
|    1       |   4-1   |   29   |
|    2       |   4-0-2   |   58   |
|    3       |   4-0-2-8-7-3   |   194   |
|    5       |   4-0-2-5   |   130   |
|    6       |   4-0-6   |   81   |
|    7       |   4-0-2-8-7   |   120   |
|    8       |   4-0-2-8   |   106   |
|    9       |   4-0-9   |   107   |
Routing Table for Node No. 4 at Time 40
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   4-0   |   48   |
|    1       |   4-1   |   30   |
|    2       |   4-0-2   |   66   |
|    3       |   4-0-2-8-7-3   |   202   |
|    5       |   4-0-2-5   |   138   |
|    6       |   4-0-6   |   89   |
|    7       |   4-0-2-8-7   |   128   |
|    8       |   4-0-2-8   |   114   |
|    9       |   4-0-9   |   115   |
Routing Table for Node No. 4 at Time 50
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   4-0   |   43   |
|    1       |   4-1   |   25   |
|    2       |   4-0-2   |   61   |
|    3       |   4-0-2-8-7-3   |   197   |
|    5       |   4-0-2-5   |   133   |
|    6       |   4-0-6   |   84   |
|    7       |   4-0-2-8-7   |   123   |
|    8       |   4-0-2-8   |   109   |
|    9       |   4-0-9   |   110   |
Routing Table for Node No. 4 at Time 60
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   4-0   |   20   |
|    1       |   4-1   |   22   |
|    2       |   4-0-2   |   38   |
|    3       |   4-0-2-8-7-3   |   174   |
|    5       |   4-0-2-5   |   110   |
|    6       |   4-0-6   |   61   |
|    7       |   4-0-2-8-7   |   100   |
|    8       |   4-0-2-8   |   86   |
|    9       |   4-0-9   |   87   |
Routing Table for Node No. 4 at Time 70
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   4-0   |   39   |
|    1       |   4-1   |   24   |
|    2       |   4-0-2   |   57   |
|    3       |   4-0-2-8-7-3   |   193   |
|    5       |   4-0-2-5   |   129   |
|    6       |   4-0-6   |   80   |
|    7       |   4-0-2-8-7   |   119   |
|    8       |   4-0-2-8   |   105   |
|    9       |   4-0-9   |   106   |
Routing Table for Node No. 4 at Time 80
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   4-0   |   39   |
|    1       |   4-1   |   21   |
|    2       |   4-0-2   |   57   |
|    3       |   4-0-2-8-7-3   |   193   |
|    5       |   4-0-2-5   |   129   |
|    6       |   4-0-6   |   80   |
|    7       |   4-0-2-8-7   |   119   |
|    8       |   4-0-2-8   |   105   |
|    9       |   4-0-9   |   106   |
Routing Table for Node No. 4 at Time 90
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   4-0   |   40   |
|    1       |   4-1   |   22   |
|    2       |   4-0-2   |   58   |
|    3       |   4-0-2-8-7-3   |   194   |
|    5       |   4-0-2-5   |   130   |
|    6       |   4-0-6   |   81   |
|    7       |   4-0-2-8-7   |   120   |
|    8       |   4-0-2-8   |   106   |
|    9       |   4-0-9   |   107   |
