Routing Table for Node No. 5 at Time 10
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   5-2-0   |   64   |
|    1       |   5-2-0-1   |   104   |
|    2       |   5-2   |   42   |
|    3       |   5-8-7-3   |   98   |
|    4       |   5-2-0-4   |   108   |
|    6       |   5-6   |   70   |
|    7       |   5-8-7   |   24   |
|    8       |   5-8   |   10   |
|    9       |   5-9   |   104   |
Routing Table for Node No. 5 at Time 20
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   5-2-0   |   100   |
|    1       |   5-2-0-1   |   140   |
|    2       |   5-2   |   78   |
|    3       |   5-8-7-3   |   124   |
|    4       |   5-2-0-4   |   144   |
|    6       |   5-6   |   69   |
|    7       |   5-8-7   |   50   |
|    8       |   5-8   |   36   |
|    9       |   5-6-9   |   139   |
Routing Table for Node No. 5 at Time 30
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   5-2-0   |   103   |
|    1       |   5-2-0-1   |   143   |
|    2       |   5-2   |   81   |
|    3       |   5-8-7-3   |   157   |
|    4       |   5-2-0-4   |   147   |
|    6       |   5-6   |   65   |
|    7       |   5-8-7   |   83   |
|    8       |   5-8   |   69   |
|    9       |   5-9   |   121   |
Routing Table for Node No. 5 at Time 40
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   5-2-0   |   100   |
|    1       |   5-2-0-1   |   140   |
|    2       |   5-2   |   78   |
|    3       |   5-8-7-3   |   142   |
|    4       |   5-2-0-4   |   144   |
|    6       |   5-6   |   67   |
|    7       |   5-8-7   |   68   |
|    8       |   5-8   |   54   |
|    9       |   5-9   |   111   |
Routing Table for Node No. 5 at Time 50
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   5-2-0   |   72   |
|    1       |   5-2-0-1   |   112   |
|    2       |   5-2   |   50   |
|    3       |   5-8-7-3   |   127   |
|    4       |   5-2-0-4   |   116   |
|    6       |   5-6   |   67   |
|    7       |   5-8-7   |   53   |
|    8       |   5-8   |   39   |
|    9       |   5-9   |   109   |
Routing Table for Node No. 5 at Time 60
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   5-2-0   |   89   |
|    1       |   5-2-0-1   |   129   |
|    2       |   5-2   |   67   |
|    3       |   5-8-7-3   |   128   |
|    4       |   5-2-0-4   |   133   |
|    6       |   5-6   |   70   |
|    7       |   5-8-7   |   54   |
|    8       |   5-8   |   40   |
|    9       |   5-6-9   |   140   |
Routing Table for Node No. 5 at Time 70
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   5-2-0   |   71   |
|    1       |   5-2-0-1   |   111   |
|    2       |   5-2   |   49   |
|    3       |   5-8-7-3   |   138   |
|    4       |   5-2-0-4   |   115   |
|    6       |   5-6   |   68   |
|    7       |   5-8-7   |   64   |
|    8       |   5-8   |   50   |
|    9       |   5-9   |   115   |
Routing Table for Node No. 5 at Time 80
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   5-2-0   |   98   |
|    1       |   5-2-0-1   |   138   |
|    2       |   5-2   |   76   |
|    3       |   5-8-7-3   |   127   |
|    4       |   5-2-0-4   |   142   |
|    6       |   5-6   |   64   |
|    7       |   5-8-7   |   53   |
|    8       |   5-8   |   39   |
|    9       |   5-6-9   |   134   |
Routing Table for Node No. 5 at Time 90
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   5-2-0   |   91   |
|    1       |   5-2-0-1   |   131   |
|    2       |   5-2   |   69   |
|    3       |   5-8-7-3   |   139   |
|    4       |   5-2-0-4   |   135   |
|    6       |   5-6   |   68   |
|    7       |   5-8-7   |   65   |
|    8       |   5-8   |   51   |
|    9       |   5-9   |   126   |
