Routing Table for Node No. 9 at Time 10
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   9-0   |   63   |
|    1       |   9-0-1   |   103   |
|    2       |   9-0-2   |   81   |
|    3       |   9-6-8-7-3   |   213   |
|    4       |   9-0-4   |   107   |
|    5       |   9-6-5   |   144   |
|    6       |   9-6   |   80   |
|    7       |   9-6-8-7   |   139   |
|    8       |   9-6-8   |   125   |
Routing Table for Node No. 9 at Time 20
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   9-0   |   92   |
|    1       |   9-0-1   |   132   |
|    2       |   9-0-2   |   110   |
|    3       |   9-6-8-7-3   |   210   |
|    4       |   9-0-4   |   136   |
|    5       |   9-5   |   106   |
|    6       |   9-6   |   77   |
|    7       |   9-6-8-7   |   136   |
|    8       |   9-6-8   |   122   |
Routing Table for Node No. 9 at Time 30
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   9-0   |   76   |
|    1       |   9-0-1   |   116   |
|    2       |   9-0-2   |   94   |
|    3       |   9-6-8-7-3   |   213   |
|    4       |   9-0-4   |   120   |
|    5       |   9-6-5   |   144   |
|    6       |   9-6   |   80   |
|    7       |   9-6-8-7   |   139   |
|    8       |   9-6-8   |   125   |
Routing Table for Node No. 9 at Time 40
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   9-0   |   75   |
|    1       |   9-0-1   |   115   |
|    2       |   9-0-2   |   93   |
|    3       |   9-6-8-7-3   |   211   |
|    4       |   9-0-4   |   119   |
|    5       |   9-5   |   126   |
|    6       |   9-6   |   78   |
|    7       |   9-6-8-7   |   137   |
|    8       |   9-6-8   |   123   |
Routing Table for Node No. 9 at Time 50
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   9-0   |   64   |
|    1       |   9-0-1   |   104   |
|    2       |   9-0-2   |   82   |
|    3       |   9-6-8-7-3   |   211   |
|    4       |   9-0-4   |   108   |
|    5       |   9-5   |   116   |
|    6       |   9-6   |   78   |
|    7       |   9-6-8-7   |   137   |
|    8       |   9-6-8   |   123   |
Routing Table for Node No. 9 at Time 60
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   9-0   |   88   |
|    1       |   9-0-1   |   128   |
|    2       |   9-0-2   |   106   |
|    3       |   9-6-8-7-3   |   204   |
|    4       |   9-0-4   |   132   |
|    5       |   9-6-5   |   135   |
|    6       |   9-6   |   71   |
|    7       |   9-6-8-7   |   130   |
|    8       |   9-6-8   |   116   |
Routing Table for Node No. 9 at Time 70
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   9-0   |   67   |
|    1       |   9-0-1   |   107   |
|    2       |   9-0-2   |   85   |
|    3       |   9-6-8-7-3   |   207   |
|    4       |   9-0-4   |   111   |
|    5       |   9-5   |   109   |
|    6       |   9-6   |   74   |
|    7       |   9-6-8-7   |   133   |
|    8       |   9-6-8   |   119   |
Routing Table for Node No. 9 at Time 80
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   9-0   |   86   |
|    1       |   9-0-1   |   126   |
|    2       |   9-0-2   |   104   |
|    3       |   9-6-8-7-3   |   207   |
|    4       |   9-0-4   |   130   |
|    5       |   9-5   |   118   |
|    6       |   9-6   |   74   |
|    7       |   9-6-8-7   |   133   |
|    8       |   9-6-8   |   119   |
Routing Table for Node No. 9 at Time 90
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   9-0   |   83   |
|    1       |   9-0-1   |   123   |
|    2       |   9-0-2   |   101   |
|    3       |   9-6-8-7-3   |   211   |
|    4       |   9-0-4   |   127   |
|    5       |   9-5   |   140   |
|    6       |   9-6   |   78   |
|    7       |   9-6-8-7   |   137   |
|    8       |   9-6-8   |   123   |
