Routing Table for Node No. 6 at Time 10
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   6-0   |   72   |
|    1       |   6-0-1   |   112   |
|    2       |   6-8-2   |   86   |
|    3       |   6-8-3   |   147   |
|    4       |   6-0-4   |   112   |
|    5       |   6-5   |   66   |
|    7       |   6-8-7   |   71   |
|    8       |   6-8   |   60   |
|    9       |   6-9   |   80   |
Routing Table for Node No. 6 at Time 20
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   6-0   |   51   |
|    1       |   6-0-1   |   91   |
|    2       |   6-0-2   |   71   |
|    3       |   6-8-3   |   151   |
|    4       |   6-0-4   |   91   |
|    5       |   6-5   |   66   |
|    7       |   6-8-7   |   75   |
|    8       |   6-8   |   64   |
|    9       |   6-9   |   80   |
Routing Table for Node No. 6 at Time 30
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   6-0   |   59   |
|    1       |   6-0-1   |   99   |
|    2       |   6-8-2   |   71   |
|    3       |   6-8-3   |   132   |
|    4       |   6-0-4   |   99   |
|    5       |   6-5   |   60   |
|    7       |   6-8-7   |   56   |
|    8       |   6-8   |   45   |
|    9       |   6-9   |   79   |
Routing Table for Node No. 6 at Time 40
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   6-0   |   75   |
|    1       |   6-0-1   |   115   |
|    2       |   6-8-2   |   68   |
|    3       |   6-8-3   |   129   |
|    4       |   6-0-4   |   115   |
|    5       |   6-5   |   63   |
|    7       |   6-8-7   |   53   |
|    8       |   6-8   |   42   |
|    9       |   6-9   |   72   |
Routing Table for Node No. 6 at Time 50
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   6-0   |   20   |
|    1       |   6-0-1   |   60   |
|    2       |   6-0-2   |   40   |
|    3       |   6-8-3   |   154   |
|    4       |   6-0-4   |   60   |
|    5       |   6-5   |   70   |
|    7       |   6-8-7   |   78   |
|    8       |   6-8   |   67   |
|    9       |   6-9   |   71   |
Routing Table for Node No. 6 at Time 60
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   6-0   |   55   |
|    1       |   6-0-1   |   95   |
|    2       |   6-0-2   |   75   |
|    3       |   6-8-3   |   159   |
|    4       |   6-0-4   |   95   |
|    5       |   6-5   |   62   |
|    7       |   6-8-7   |   83   |
|    8       |   6-8   |   72   |
|    9       |   6-9   |   77   |
Routing Table for Node No. 6 at Time 70
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   6-0   |   35   |
|    1       |   6-0-1   |   75   |
|    2       |   6-0-2   |   55   |
|    3       |   6-8-3   |   162   |
|    4       |   6-0-4   |   75   |
|    5       |   6-5   |   60   |
|    7       |   6-8-7   |   86   |
|    8       |   6-8   |   75   |
|    9       |   6-9   |   74   |
Routing Table for Node No. 6 at Time 80
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   6-0   |   52   |
|    1       |   6-0-1   |   92   |
|    2       |   6-8-2   |   67   |
|    3       |   6-8-3   |   128   |
|    4       |   6-0-4   |   92   |
|    5       |   6-5   |   62   |
|    7       |   6-8-7   |   52   |
|    8       |   6-8   |   41   |
|    9       |   6-9   |   80   |
Routing Table for Node No. 6 at Time 90
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   6-0   |   13   |
|    1       |   6-0-1   |   53   |
|    2       |   6-0-2   |   33   |
|    3       |   6-8-3   |   127   |
|    4       |   6-0-4   |   53   |
|    5       |   6-5   |   66   |
|    7       |   6-8-7   |   51   |
|    8       |   6-8   |   40   |
|    9       |   6-9   |   73   |
