Routing Table for Node No. 3 at Time 10
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   3-7-8-2-0   |   86   |
|    1       |   3-7-8-2-0-1   |   126   |
|    2       |   3-7-8-2   |   75   |
|    4       |   3-7-8-2-0-4   |   126   |
|    5       |   3-7-8-5   |   87   |
|    6       |   3-7-8-6   |   126   |
|    7       |   3-7   |   38   |
|    8       |   3-7-8   |   49   |
|    9       |   3-7-8-2-0-1-9   |   192   |
Routing Table for Node No. 3 at Time 20
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   3-7-8-2-0   |   79   |
|    1       |   3-7-8-2-0-1   |   119   |
|    2       |   3-7-8-2   |   68   |
|    4       |   3-7-8-2-0-4   |   119   |
|    5       |   3-7-8-5   |   80   |
|    6       |   3-7-8-6   |   119   |
|    7       |   3-7   |   31   |
|    8       |   3-7-8   |   42   |
|    9       |   3-7-8-2-0-1-9   |   185   |
Routing Table for Node No. 3 at Time 30
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   3-7-8-2-0   |   92   |
|    1       |   3-7-8-2-0-1   |   132   |
|    2       |   3-7-8-2   |   81   |
|    4       |   3-7-8-2-0-4   |   132   |
|    5       |   3-7-8-5   |   93   |
|    6       |   3-7-8-6   |   132   |
|    7       |   3-7   |   44   |
|    8       |   3-7-8   |   55   |
|    9       |   3-7-8-2-0-1-9   |   198   |
Routing Table for Node No. 3 at Time 40
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   3-7-8-2-0   |   109   |
|    1       |   3-7-8-2-0-1   |   149   |
|    2       |   3-7-8-2   |   98   |
|    4       |   3-7-8-2-0-4   |   149   |
|    5       |   3-7-8-5   |   110   |
|    6       |   3-7-8-6   |   149   |
|    7       |   3-7   |   61   |
|    8       |   3-7-8   |   72   |
|    9       |   3-7-8-2-0-1-9   |   215   |
Routing Table for Node No. 3 at Time 50
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   3-7-8-2-0   |   123   |
|    1       |   3-7-8-2-0-1   |   163   |
|    2       |   3-7-8-2   |   112   |
|    4       |   3-7-8-2-0-4   |   163   |
|    5       |   3-7-8-5   |   124   |
|    6       |   3-7-8-6   |   163   |
|    7       |   3-7   |   75   |
|    8       |   3-7-8   |   86   |
|    9       |   3-7-8-2-0-1-9   |   229   |
Routing Table for Node No. 3 at Time 60
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   3-7-8-2-0   |   99   |
|    1       |   3-7-8-2-0-1   |   139   |
|    2       |   3-7-8-2   |   88   |
|    4       |   3-7-8-2-0-4   |   139   |
|    5       |   3-7-8-5   |   100   |
|    6       |   3-7-8-6   |   139   |
|    7       |   3-7   |   51   |
|    8       |   3-7-8   |   62   |
|    9       |   3-7-8-2-0-1-9   |   205   |
Routing Table for Node No. 3 at Time 70
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   3-7-8-2-0   |   86   |
|    1       |   3-7-8-2-0-1   |   126   |
|    2       |   3-7-8-2   |   75   |
|    4       |   3-7-8-2-0-4   |   126   |
|    5       |   3-7-8-5   |   87   |
|    6       |   3-7-8-6   |   126   |
|    7       |   3-7   |   38   |
|    8       |   3-7-8   |   49   |
|    9       |   3-7-8-2-0-1-9   |   192   |
Routing Table for Node No. 3 at Time 80
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   3-7-8-2-0   |   74   |
|    1       |   3-7-8-2-0-1   |   114   |
|    2       |   3-7-8-2   |   63   |
|    4       |   3-7-8-2-0-4   |   114   |
|    5       |   3-7-8-5   |   75   |
|    6       |   3-7-8-6   |   114   |
|    7       |   3-7   |   26   |
|    8       |   3-7-8   |   37   |
|    9       |   3-7-8-2-0-1-9   |   180   |
Routing Table for Node No. 3 at Time 90
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   3-7-8-2-0   |   90   |
|    1       |   3-7-8-2-0-1   |   130   |
|    2       |   3-7-8-2   |   79   |
|    4       |   3-7-8-2-0-4   |   130   |
|    5       |   3-7-8-5   |   91   |
|    6       |   3-7-8-6   |   130   |
|    7       |   3-7   |   42   |
|    8       |   3-7-8   |   53   |
|    9       |   3-7-8-2-0-1-9   |   196   |
