Routing Table for Node No. 2 at Time 10
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   2-0   |   21   |
|    1       |   2-0-1   |   61   |
|    3       |   2-8-3   |   128   |
|    4       |   2-0-4   |   61   |
|    5       |   2-5   |   57   |
|    6       |   2-0-6   |   62   |
|    7       |   2-8-7   |   52   |
|    8       |   2-8   |   41   |
|    9       |   2-0-1-9   |   127   |
Routing Table for Node No. 2 at Time 20
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   2-0   |   14   |
|    1       |   2-0-1   |   54   |
|    3       |   2-8-3   |   175   |
|    4       |   2-0-4   |   54   |
|    5       |   2-5   |   71   |
|    6       |   2-0-6   |   55   |
|    7       |   2-8-7   |   99   |
|    8       |   2-8   |   88   |
|    9       |   2-0-1-9   |   120   |
Routing Table for Node No. 2 at Time 30
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   2-0   |   16   |
|    1       |   2-0-1   |   56   |
|    3       |   2-8-3   |   112   |
|    4       |   2-0-4   |   56   |
|    5       |   2-5   |   60   |
|    6       |   2-0-6   |   57   |
|    7       |   2-8-7   |   36   |
|    8       |   2-8   |   25   |
|    9       |   2-0-1-9   |   122   |
Routing Table for Node No. 2 at Time 40
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   2-0   |   14   |
|    1       |   2-0-1   |   54   |
|    3       |   2-8-3   |   167   |
|    4       |   2-0-4   |   54   |
|    5       |   2-5   |   66   |
|    6       |   2-0-6   |   55   |
|    7       |   2-8-7   |   91   |
|    8       |   2-8   |   80   |
|    9       |   2-0-1-9   |   120   |
Routing Table for Node No. 2 at Time 50
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   2-0   |   10   |
|    1       |   2-0-1   |   50   |
|    3       |   2-8-3   |   178   |
|    4       |   2-0-4   |   50   |
|    5       |   2-5   |   78   |
|    6       |   2-0-6   |   51   |
|    7       |   2-8-7   |   102   |
|    8       |   2-8   |   91   |
|    9       |   2-0-1-9   |   116   |
Routing Table for Node No. 2 at Time 60
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   2-0   |   15   |
|    1       |   2-0-1   |   55   |
|    3       |   2-8-3   |   117   |
|    4       |   2-0-4   |   55   |
|    5       |   2-8-5   |   68   |
|    6       |   2-0-6   |   56   |
|    7       |   2-8-7   |   41   |
|    8       |   2-8   |   30   |
|    9       |   2-0-1-9   |   121   |
Routing Table for Node No. 2 at Time 70
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   2-0   |   16   |
|    1       |   2-0-1   |   56   |
|    3       |   2-8-3   |   123   |
|    4       |   2-0-4   |   56   |
|    5       |   2-5   |   51   |
|    6       |   2-0-6   |   57   |
|    7       |   2-8-7   |   47   |
|    8       |   2-8   |   36   |
|    9       |   2-0-1-9   |   122   |
Routing Table for Node No. 2 at Time 80
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   2-0   |   11   |
|    1       |   2-0-1   |   51   |
|    3       |   2-8-3   |   130   |
|    4       |   2-0-4   |   51   |
|    5       |   2-5   |   78   |
|    6       |   2-0-6   |   52   |
|    7       |   2-8-7   |   54   |
|    8       |   2-8   |   43   |
|    9       |   2-0-1-9   |   117   |
Routing Table for Node No. 2 at Time 90
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   2-0   |   20   |
|    1       |   2-0-1   |   60   |
|    3       |   2-8-3   |   142   |
|    4       |   2-0-4   |   60   |
|    5       |   2-5   |   60   |
|    6       |   2-0-6   |   61   |
|    7       |   2-8-7   |   66   |
|    8       |   2-8   |   55   |
|    9       |   2-0-1-9   |   126   |
