Routing Table for Node No. 0 at Time 10
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    1       |   0-1   |   40   |
|    2       |   0-2   |   20   |
|    3       |   0-2-8-3   |   183   |
|    4       |   0-4   |   40   |
|    5       |   0-2-5   |   97   |
|    6       |   0-6   |   41   |
|    7       |   0-2-8-7   |   107   |
|    8       |   0-2-8   |   96   |
|    9       |   0-1-9   |   106   |
Routing Table for Node No. 0 at Time 20
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    1       |   0-4-1   |   37   |
|    2       |   0-2   |   10   |
|    3       |   0-2-8-3   |   173   |
|    4       |   0-4   |   16   |
|    5       |   0-6-5   |   80   |
|    6       |   0-6   |   14   |
|    7       |   0-2-8-7   |   97   |
|    8       |   0-2-8   |   86   |
|    9       |   0-6-9   |   88   |
Routing Table for Node No. 0 at Time 30
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    1       |   0-1   |   47   |
|    2       |   0-2   |   22   |
|    3       |   0-2-8-3   |   185   |
|    4       |   0-4   |   49   |
|    5       |   0-6-5   |   95   |
|    6       |   0-6   |   29   |
|    7       |   0-2-8-7   |   109   |
|    8       |   0-2-8   |   98   |
|    9       |   0-6-9   |   103   |
Routing Table for Node No. 0 at Time 40
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    1       |   0-1   |   35   |
|    2       |   0-2   |   24   |
|    3       |   0-2-8-3   |   187   |
|    4       |   0-4   |   45   |
|    5       |   0-2-5   |   101   |
|    6       |   0-6   |   60   |
|    7       |   0-2-8-7   |   111   |
|    8       |   0-2-8   |   100   |
|    9       |   0-1-9   |   101   |
Routing Table for Node No. 0 at Time 50
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    1       |   0-1   |   32   |
|    2       |   0-2   |   11   |
|    3       |   0-2-8-3   |   174   |
|    4       |   0-4   |   24   |
|    5       |   0-2-5   |   88   |
|    6       |   0-6   |   53   |
|    7       |   0-2-8-7   |   98   |
|    8       |   0-2-8   |   87   |
|    9       |   0-1-9   |   98   |
Routing Table for Node No. 0 at Time 60
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    1       |   0-1   |   42   |
|    2       |   0-2   |   19   |
|    3       |   0-2-8-3   |   182   |
|    4       |   0-4   |   30   |
|    5       |   0-6-5   |   84   |
|    6       |   0-6   |   18   |
|    7       |   0-2-8-7   |   106   |
|    8       |   0-2-8   |   95   |
|    9       |   0-6-9   |   92   |
Routing Table for Node No. 0 at Time 70
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    1       |   0-1   |   45   |
|    2       |   0-2   |   20   |
|    3       |   0-2-8-3   |   183   |
|    4       |   0-4   |   34   |
|    5       |   0-6-5   |   91   |
|    6       |   0-6   |   25   |
|    7       |   0-2-8-7   |   107   |
|    8       |   0-2-8   |   96   |
|    9       |   0-6-9   |   99   |
Routing Table for Node No. 0 at Time 80
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    1       |   0-1   |   32   |
|    2       |   0-2   |   13   |
|    3       |   0-2-8-3   |   176   |
|    4       |   0-4   |   21   |
|    5       |   0-2-5   |   90   |
|    6       |   0-6   |   66   |
|    7       |   0-2-8-7   |   100   |
|    8       |   0-2-8   |   89   |
|    9       |   0-1-9   |   98   |
Routing Table for Node No. 0 at Time 90
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    1       |   0-1   |   48   |
|    2       |   0-2   |   15   |
|    3       |   0-2-8-3   |   178   |
|    4       |   0-4   |   56   |
|    5       |   0-2-5   |   92   |
|    6       |   0-6   |   36   |
|    7       |   0-2-8-7   |   102   |
|    8       |   0-2-8   |   91   |
|    9       |   0-6-9   |   110   |
