Routing Table for Node No. 5 at Time 10
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   5-8-2-0   |   66   |
|    1       |   5-8-2-0-1   |   106   |
|    2       |   5-8-2   |   55   |
|    3       |   5-3   |   103   |
|    4       |   5-8-2-0-4   |   106   |
|    6       |   5-6   |   60   |
|    7       |   5-8-7   |   40   |
|    8       |   5-8   |   29   |
|    9       |   5-6-9   |   134   |
Routing Table for Node No. 5 at Time 20
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   5-8-2-0   |   55   |
|    1       |   5-8-2-0-1   |   95   |
|    2       |   5-8-2   |   44   |
|    3       |   5-8-3   |   105   |
|    4       |   5-8-2-0-4   |   95   |
|    6       |   5-6   |   69   |
|    7       |   5-8-7   |   29   |
|    8       |   5-8   |   18   |
|    9       |   5-9   |   110   |
Routing Table for Node No. 5 at Time 30
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   5-2-0   |   58   |
|    1       |   5-2-0-1   |   98   |
|    2       |   5-2   |   47   |
|    3       |   5-3   |   43   |
|    4       |   5-2-0-4   |   98   |
|    6       |   5-6   |   68   |
|    7       |   5-8-7   |   37   |
|    8       |   5-8   |   26   |
|    9       |   5-9   |   121   |
Routing Table for Node No. 5 at Time 40
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   5-2-0   |   57   |
|    1       |   5-2-0-1   |   97   |
|    2       |   5-2   |   46   |
|    3       |   5-8-3   |   138   |
|    4       |   5-2-0-4   |   97   |
|    6       |   5-6   |   63   |
|    7       |   5-8-7   |   62   |
|    8       |   5-8   |   51   |
|    9       |   5-9   |   132   |
Routing Table for Node No. 5 at Time 50
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   5-2-0   |   82   |
|    1       |   5-2-0-1   |   122   |
|    2       |   5-2   |   71   |
|    3       |   5-3   |   140   |
|    4       |   5-2-0-4   |   122   |
|    6       |   5-6   |   68   |
|    7       |   5-8-7   |   66   |
|    8       |   5-8   |   55   |
|    9       |   5-6-9   |   142   |
Routing Table for Node No. 5 at Time 60
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   5-2-0   |   78   |
|    1       |   5-2-0-1   |   118   |
|    2       |   5-2   |   67   |
|    3       |   5-8-3   |   142   |
|    4       |   5-2-0-4   |   118   |
|    6       |   5-6   |   60   |
|    7       |   5-8-7   |   66   |
|    8       |   5-8   |   55   |
|    9       |   5-9   |   132   |
Routing Table for Node No. 5 at Time 70
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   5-8-2-0   |   50   |
|    1       |   5-8-2-0-1   |   90   |
|    2       |   5-8-2   |   39   |
|    3       |   5-8-3   |   100   |
|    4       |   5-8-2-0-4   |   90   |
|    6       |   5-6   |   60   |
|    7       |   5-8-7   |   24   |
|    8       |   5-8   |   13   |
|    9       |   5-9   |   123   |
Routing Table for Node No. 5 at Time 80
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   5-2-0   |   72   |
|    1       |   5-2-0-1   |   112   |
|    2       |   5-2   |   61   |
|    3       |   5-3   |   131   |
|    4       |   5-2-0-4   |   112   |
|    6       |   5-6   |   60   |
|    7       |   5-8-7   |   76   |
|    8       |   5-8   |   65   |
|    9       |   5-9   |   102   |
Routing Table for Node No. 5 at Time 90
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   5-8-2-0   |   66   |
|    1       |   5-8-2-0-1   |   106   |
|    2       |   5-8-2   |   55   |
|    3       |   5-8-3   |   116   |
|    4       |   5-8-2-0-4   |   106   |
|    6       |   5-6   |   67   |
|    7       |   5-8-7   |   40   |
|    8       |   5-8   |   29   |
|    9       |   5-9   |   113   |
