Routing Table for Node No. 1 at Time 10
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   1-0   |   46   |
|    2       |   1-0-2   |   66   |
|    3       |   1-0-2-8-3   |   229   |
|    4       |   1-4   |   28   |
|    5       |   1-0-2-5   |   143   |
|    6       |   1-0-6   |   87   |
|    7       |   1-0-2-8-7   |   153   |
|    8       |   1-0-2-8   |   142   |
|    9       |   1-9   |   90   |
Routing Table for Node No. 1 at Time 20
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   1-0   |   35   |
|    2       |   1-0-2   |   55   |
|    3       |   1-0-2-8-3   |   218   |
|    4       |   1-4   |   24   |
|    5       |   1-0-2-5   |   132   |
|    6       |   1-0-6   |   76   |
|    7       |   1-0-2-8-7   |   142   |
|    8       |   1-0-2-8   |   131   |
|    9       |   1-9   |   96   |
Routing Table for Node No. 1 at Time 30
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   1-0   |   42   |
|    2       |   1-0-2   |   62   |
|    3       |   1-0-2-8-3   |   225   |
|    4       |   1-4   |   29   |
|    5       |   1-0-2-5   |   139   |
|    6       |   1-0-6   |   83   |
|    7       |   1-0-2-8-7   |   149   |
|    8       |   1-0-2-8   |   138   |
|    9       |   1-9   |   68   |
Routing Table for Node No. 1 at Time 40
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   1-0   |   31   |
|    2       |   1-0-2   |   51   |
|    3       |   1-0-2-8-3   |   214   |
|    4       |   1-4   |   23   |
|    5       |   1-0-2-5   |   128   |
|    6       |   1-0-6   |   72   |
|    7       |   1-0-2-8-7   |   138   |
|    8       |   1-0-2-8   |   127   |
|    9       |   1-9   |   76   |
Routing Table for Node No. 1 at Time 50
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   1-0   |   30   |
|    2       |   1-0-2   |   50   |
|    3       |   1-0-2-8-3   |   213   |
|    4       |   1-4   |   28   |
|    5       |   1-0-2-5   |   127   |
|    6       |   1-0-6   |   71   |
|    7       |   1-0-2-8-7   |   137   |
|    8       |   1-0-2-8   |   126   |
|    9       |   1-9   |   89   |
Routing Table for Node No. 1 at Time 60
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   1-0   |   47   |
|    2       |   1-0-2   |   67   |
|    3       |   1-0-2-8-3   |   230   |
|    4       |   1-4   |   23   |
|    5       |   1-0-2-5   |   144   |
|    6       |   1-0-6   |   88   |
|    7       |   1-0-2-8-7   |   154   |
|    8       |   1-0-2-8   |   143   |
|    9       |   1-9   |   87   |
Routing Table for Node No. 1 at Time 70
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   1-0   |   49   |
|    2       |   1-0-2   |   69   |
|    3       |   1-0-2-8-3   |   232   |
|    4       |   1-4   |   20   |
|    5       |   1-0-2-5   |   146   |
|    6       |   1-0-6   |   90   |
|    7       |   1-0-2-8-7   |   156   |
|    8       |   1-0-2-8   |   145   |
|    9       |   1-9   |   73   |
Routing Table for Node No. 1 at Time 80
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   1-0   |   42   |
|    2       |   1-0-2   |   62   |
|    3       |   1-0-2-8-3   |   225   |
|    4       |   1-4   |   24   |
|    5       |   1-0-2-5   |   139   |
|    6       |   1-0-6   |   83   |
|    7       |   1-0-2-8-7   |   149   |
|    8       |   1-0-2-8   |   138   |
|    9       |   1-9   |   88   |
Routing Table for Node No. 1 at Time 90
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   1-0   |   47   |
|    2       |   1-0-2   |   67   |
|    3       |   1-0-2-8-3   |   230   |
|    4       |   1-4   |   26   |
|    5       |   1-0-2-5   |   144   |
|    6       |   1-0-6   |   88   |
|    7       |   1-0-2-8-7   |   154   |
|    8       |   1-0-2-8   |   143   |
|    9       |   1-9   |   99   |
