Routing Table for Node No. 9 at Time 10
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   9-6-0   |   110   |
|    1       |   9-1   |   87   |
|    2       |   9-6-0-2   |   130   |
|    3       |   9-6-8-3   |   249   |
|    4       |   9-1-4   |   113   |
|    5       |   9-6-5   |   140   |
|    6       |   9-6   |   74   |
|    7       |   9-6-8-7   |   173   |
|    8       |   9-6-8   |   162   |
Routing Table for Node No. 9 at Time 20
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   9-6-0   |   110   |
|    1       |   9-1   |   87   |
|    2       |   9-6-0-2   |   130   |
|    3       |   9-6-8-3   |   249   |
|    4       |   9-1-4   |   113   |
|    5       |   9-5   |   133   |
|    6       |   9-6   |   74   |
|    7       |   9-6-8-7   |   173   |
|    8       |   9-6-8   |   162   |
Routing Table for Node No. 9 at Time 30
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   9-6-0   |   107   |
|    1       |   9-1   |   83   |
|    2       |   9-6-0-2   |   127   |
|    3       |   9-6-8-3   |   246   |
|    4       |   9-1-4   |   109   |
|    5       |   9-5   |   130   |
|    6       |   9-6   |   71   |
|    7       |   9-6-8-7   |   170   |
|    8       |   9-6-8   |   159   |
Routing Table for Node No. 9 at Time 40
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   9-1-0   |   107   |
|    1       |   9-1   |   67   |
|    2       |   9-1-0-2   |   127   |
|    3       |   9-5-8-3   |   240   |
|    4       |   9-1-4   |   93   |
|    5       |   9-5   |   115   |
|    6       |   9-6   |   80   |
|    7       |   9-5-8-7   |   164   |
|    8       |   9-5-8   |   153   |
Routing Table for Node No. 9 at Time 50
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   9-6-0   |   108   |
|    1       |   9-1   |   82   |
|    2       |   9-6-0-2   |   128   |
|    3       |   9-6-8-3   |   247   |
|    4       |   9-1-4   |   108   |
|    5       |   9-5   |   136   |
|    6       |   9-6   |   72   |
|    7       |   9-6-8-7   |   171   |
|    8       |   9-6-8   |   160   |
Routing Table for Node No. 9 at Time 60
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   9-6-0   |   114   |
|    1       |   9-1   |   88   |
|    2       |   9-6-0-2   |   134   |
|    3       |   9-5-8-3   |   244   |
|    4       |   9-1-4   |   114   |
|    5       |   9-5   |   119   |
|    6       |   9-6   |   78   |
|    7       |   9-5-8-7   |   168   |
|    8       |   9-5-8   |   157   |
Routing Table for Node No. 9 at Time 70
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   9-6-0   |   109   |
|    1       |   9-1   |   72   |
|    2       |   9-6-0-2   |   129   |
|    3       |   9-5-8-3   |   238   |
|    4       |   9-1-4   |   98   |
|    5       |   9-5   |   113   |
|    6       |   9-6   |   73   |
|    7       |   9-5-8-7   |   162   |
|    8       |   9-5-8   |   151   |
Routing Table for Node No. 9 at Time 80
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   9-6-0   |   114   |
|    1       |   9-1   |   99   |
|    2       |   9-6-0-2   |   134   |
|    3       |   9-6-8-3   |   253   |
|    4       |   9-1-4   |   125   |
|    5       |   9-5   |   136   |
|    6       |   9-6   |   78   |
|    7       |   9-6-8-7   |   177   |
|    8       |   9-6-8   |   166   |
Routing Table for Node No. 9 at Time 90
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   9-1-0   |   105   |
|    1       |   9-1   |   65   |
|    2       |   9-1-0-2   |   125   |
|    3       |   9-5-8-3   |   232   |
|    4       |   9-1-4   |   91   |
|    5       |   9-5   |   107   |
|    6       |   9-6   |   71   |
|    7       |   9-5-8-7   |   156   |
|    8       |   9-5-8   |   145   |
