Routing Table for Node No. 8 at Time 10
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   8-5-2-0   |   98   |
|    1       |   8-5-2-0-1   |   138   |
|    2       |   8-5-2   |   87   |
|    3       |   8-3   |   85   |
|    4       |   8-5-2-0-4   |   138   |
|    5       |   8-5   |   10   |
|    6       |   8-5-6   |   74   |
|    7       |   8-7   |   10   |
|    9       |   8-5-9   |   142   |
Routing Table for Node No. 8 at Time 20
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   8-2-0   |   45   |
|    1       |   8-2-0-1   |   85   |
|    2       |   8-2   |   34   |
|    3       |   8-7-3   |   94   |
|    4       |   8-2-0-4   |   85   |
|    5       |   8-5   |   61   |
|    6       |   8-2-0-6   |   86   |
|    7       |   8-7   |   16   |
|    9       |   8-2-0-1-9   |   151   |
Routing Table for Node No. 8 at Time 30
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   8-2-0   |   69   |
|    1       |   8-2-0-1   |   109   |
|    2       |   8-2   |   58   |
|    3       |   8-7-3   |   92   |
|    4       |   8-2-0-4   |   109   |
|    5       |   8-5   |   59   |
|    6       |   8-6   |   41   |
|    7       |   8-7   |   14   |
|    9       |   8-6-9   |   115   |
Routing Table for Node No. 8 at Time 40
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   8-6-0   |   81   |
|    1       |   8-6-0-1   |   121   |
|    2       |   8-2   |   76   |
|    3       |   8-3   |   91   |
|    4       |   8-6-0-4   |   121   |
|    5       |   8-5   |   14   |
|    6       |   8-6   |   45   |
|    7       |   8-7   |   19   |
|    9       |   8-6-9   |   119   |
Routing Table for Node No. 8 at Time 50
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   8-2-0   |   21   |
|    1       |   8-2-0-1   |   61   |
|    2       |   8-2   |   10   |
|    3       |   8-7-3   |   90   |
|    4       |   8-2-0-4   |   61   |
|    5       |   8-5   |   47   |
|    6       |   8-6   |   55   |
|    7       |   8-7   |   12   |
|    9       |   8-2-0-1-9   |   127   |
Routing Table for Node No. 8 at Time 60
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   8-2-0   |   23   |
|    1       |   8-2-0-1   |   63   |
|    2       |   8-2   |   12   |
|    3       |   8-7-3   |   91   |
|    4       |   8-2-0-4   |   63   |
|    5       |   8-5   |   51   |
|    6       |   8-2-0-6   |   64   |
|    7       |   8-7   |   13   |
|    9       |   8-2-0-1-9   |   129   |
Routing Table for Node No. 8 at Time 70
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   8-2-0   |   40   |
|    1       |   8-2-0-1   |   80   |
|    2       |   8-2   |   29   |
|    3       |   8-7-3   |   94   |
|    4       |   8-2-0-4   |   80   |
|    5       |   8-5   |   55   |
|    6       |   8-6   |   66   |
|    7       |   8-7   |   16   |
|    9       |   8-6-9   |   140   |
Routing Table for Node No. 8 at Time 80
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   8-6-0   |   81   |
|    1       |   8-6-0-1   |   121   |
|    2       |   8-2   |   71   |
|    3       |   8-7-3   |   95   |
|    4       |   8-6-0-4   |   121   |
|    5       |   8-5   |   17   |
|    6       |   8-6   |   45   |
|    7       |   8-7   |   17   |
|    9       |   8-6-9   |   119   |
Routing Table for Node No. 8 at Time 90
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   8-2-0   |   57   |
|    1       |   8-2-0-1   |   97   |
|    2       |   8-2   |   46   |
|    3       |   8-3   |   89   |
|    4       |   8-2-0-4   |   97   |
|    5       |   8-5   |   47   |
|    6       |   8-6   |   55   |
|    7       |   8-7   |   11   |
|    9       |   8-6-9   |   129   |
