Routing Table for Node No. 5 at Time 10
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   5-8-2-0   |   60   |
|    1       |   5-8-2-0-1   |   100   |
|    2       |   5-8-2   |   41   |
|    3       |   5-8-7-3   |   103   |
|    4       |   5-8-2-0-4   |   104   |
|    6       |   5-6   |   61   |
|    7       |   5-8-7   |   29   |
|    8       |   5-8   |   15   |
|    9       |   5-9   |   108   |
Routing Table for Node No. 5 at Time 20
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   5-8-2-0   |   83   |
|    1       |   5-8-2-0-1   |   123   |
|    2       |   5-8-2   |   64   |
|    3       |   5-8-7-3   |   126   |
|    4       |   5-8-2-0-4   |   127   |
|    6       |   5-6   |   69   |
|    7       |   5-8-7   |   52   |
|    8       |   5-8   |   38   |
|    9       |   5-6-9   |   139   |
Routing Table for Node No. 5 at Time 30
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   5-8-2-0   |   78   |
|    1       |   5-8-2-0-1   |   118   |
|    2       |   5-8-2   |   59   |
|    3       |   5-8-7-3   |   121   |
|    4       |   5-8-2-0-4   |   122   |
|    6       |   5-6   |   68   |
|    7       |   5-8-7   |   47   |
|    8       |   5-8   |   33   |
|    9       |   5-9   |   114   |
Routing Table for Node No. 5 at Time 40
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   5-8-2-0   |   58   |
|    1       |   5-8-2-0-1   |   98   |
|    2       |   5-8-2   |   39   |
|    3       |   5-8-7-3   |   101   |
|    4       |   5-8-2-0-4   |   102   |
|    6       |   5-6   |   64   |
|    7       |   5-8-7   |   27   |
|    8       |   5-8   |   13   |
|    9       |   5-9   |   106   |
Routing Table for Node No. 5 at Time 50
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   5-8-2-0   |   61   |
|    1       |   5-8-2-0-1   |   101   |
|    2       |   5-8-2   |   42   |
|    3       |   5-8-7-3   |   104   |
|    4       |   5-8-2-0-4   |   105   |
|    6       |   5-6   |   69   |
|    7       |   5-8-7   |   30   |
|    8       |   5-8   |   16   |
|    9       |   5-9   |   111   |
Routing Table for Node No. 5 at Time 60
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   5-2-0   |   92   |
|    1       |   5-2-0-1   |   132   |
|    2       |   5-2   |   73   |
|    3       |   5-8-7-3   |   146   |
|    4       |   5-2-0-4   |   136   |
|    6       |   5-6   |   66   |
|    7       |   5-8-7   |   72   |
|    8       |   5-8   |   58   |
|    9       |   5-6-9   |   136   |
Routing Table for Node No. 5 at Time 70
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   5-2-0   |   83   |
|    1       |   5-2-0-1   |   123   |
|    2       |   5-2   |   64   |
|    3       |   5-8-7-3   |   128   |
|    4       |   5-2-0-4   |   127   |
|    6       |   5-6   |   64   |
|    7       |   5-8-7   |   54   |
|    8       |   5-8   |   40   |
|    9       |   5-9   |   107   |
Routing Table for Node No. 5 at Time 80
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   5-2-0   |   59   |
|    1       |   5-2-0-1   |   99   |
|    2       |   5-2   |   40   |
|    3       |   5-8-7-3   |   143   |
|    4       |   5-2-0-4   |   103   |
|    6       |   5-6   |   60   |
|    7       |   5-8-7   |   69   |
|    8       |   5-8   |   55   |
|    9       |   5-9   |   119   |
Routing Table for Node No. 5 at Time 90
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   5-2-0   |   72   |
|    1       |   5-2-0-1   |   112   |
|    2       |   5-2   |   53   |
|    3       |   5-8-7-3   |   125   |
|    4       |   5-2-0-4   |   116   |
|    6       |   5-6   |   62   |
|    7       |   5-8-7   |   51   |
|    8       |   5-8   |   37   |
|    9       |   5-9   |   116   |
