Routing Table for Node No. 7 at Time 10
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   7-8-2-0   |   53   |
|    1       |   7-8-2-0-1   |   93   |
|    2       |   7-8-2   |   42   |
|    3       |   7-3   |   31   |
|    4       |   7-8-2-0-4   |   93   |
|    5       |   7-8-5   |   54   |
|    6       |   7-8-6   |   93   |
|    8       |   7-8   |   16   |
|    9       |   7-8-2-0-1-9   |   159   |
Routing Table for Node No. 7 at Time 20
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   7-8-2-0   |   57   |
|    1       |   7-8-2-0-1   |   97   |
|    2       |   7-8-2   |   46   |
|    3       |   7-3   |   22   |
|    4       |   7-8-2-0-4   |   97   |
|    5       |   7-8-5   |   58   |
|    6       |   7-8-6   |   97   |
|    8       |   7-8   |   20   |
|    9       |   7-8-2-0-1-9   |   163   |
Routing Table for Node No. 7 at Time 30
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   7-8-2-0   |   57   |
|    1       |   7-8-2-0-1   |   97   |
|    2       |   7-8-2   |   46   |
|    3       |   7-3   |   43   |
|    4       |   7-8-2-0-4   |   97   |
|    5       |   7-8-5   |   58   |
|    6       |   7-8-6   |   97   |
|    8       |   7-8   |   20   |
|    9       |   7-8-2-0-1-9   |   163   |
Routing Table for Node No. 7 at Time 40
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   7-8-2-0   |   53   |
|    1       |   7-8-2-0-1   |   93   |
|    2       |   7-8-2   |   42   |
|    3       |   7-3   |   53   |
|    4       |   7-8-2-0-4   |   93   |
|    5       |   7-8-5   |   54   |
|    6       |   7-8-6   |   93   |
|    8       |   7-8   |   16   |
|    9       |   7-8-2-0-1-9   |   159   |
Routing Table for Node No. 7 at Time 50
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   7-8-2-0   |   48   |
|    1       |   7-8-2-0-1   |   88   |
|    2       |   7-8-2   |   37   |
|    3       |   7-3   |   39   |
|    4       |   7-8-2-0-4   |   88   |
|    5       |   7-8-5   |   49   |
|    6       |   7-8-6   |   88   |
|    8       |   7-8   |   11   |
|    9       |   7-8-2-0-1-9   |   154   |
Routing Table for Node No. 7 at Time 60
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   7-8-2-0   |   48   |
|    1       |   7-8-2-0-1   |   88   |
|    2       |   7-8-2   |   37   |
|    3       |   7-3   |   38   |
|    4       |   7-8-2-0-4   |   88   |
|    5       |   7-8-5   |   49   |
|    6       |   7-8-6   |   88   |
|    8       |   7-8   |   11   |
|    9       |   7-8-2-0-1-9   |   154   |
Routing Table for Node No. 7 at Time 70
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   7-8-2-0   |   52   |
|    1       |   7-8-2-0-1   |   92   |
|    2       |   7-8-2   |   41   |
|    3       |   7-3   |   28   |
|    4       |   7-8-2-0-4   |   92   |
|    5       |   7-8-5   |   53   |
|    6       |   7-8-6   |   92   |
|    8       |   7-8   |   15   |
|    9       |   7-8-2-0-1-9   |   158   |
Routing Table for Node No. 7 at Time 80
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   7-8-2-0   |   47   |
|    1       |   7-8-2-0-1   |   87   |
|    2       |   7-8-2   |   36   |
|    3       |   7-3   |   67   |
|    4       |   7-8-2-0-4   |   87   |
|    5       |   7-8-5   |   48   |
|    6       |   7-8-6   |   87   |
|    8       |   7-8   |   10   |
|    9       |   7-8-2-0-1-9   |   153   |
Routing Table for Node No. 7 at Time 90
|    Dest    |   Path    |    Cost    |
|---|---|---|
|    0       |   7-8-2-0   |   55   |
|    1       |   7-8-2-0-1   |   95   |
|    2       |   7-8-2   |   44   |
|    3       |   7-3   |   49   |
|    4       |   7-8-2-0-4   |   95   |
|    5       |   7-8-5   |   56   |
|    6       |   7-8-6   |   95   |
|    8       |   7-8   |   18   |
|    9       |   7-8-2-0-1-9   |   161   |
